myid = 3	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_noacc/rand04/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc5E-2_frag_noacc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
initial mass depletion timescale =1.375903e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	   409	1.177402681208488e-03	4.216965034285821e-01	6.712103660248467e-02
2.000000e+06	  3	  3000	   689	1.459168903854033e-03	9.999999999999994e-01	6.638372927790988e-03
3.000000e+06	  3	  3000	   223	1.121874797043447e-03	1.333521432163323e+00	1.953199700682327e-01
4.000000e+06	  3	  3000	   217	1.806492767021630e-03	1.778279410038922e+00	2.730121186100347e-01
5.000000e+06	  3	  3000	  2107	1.245870845841555e-03	2.371373705661654e+00	2.028580962569962e-01
6.000000e+06	  3	  3000	  2462	1.153602725206979e-03	2.371373705661654e+00	7.263659974998345e-01
7.000000e+06	  3	  3000	  2775	1.238267702175590e-03	3.162277660168377e+00	4.570848185034661e-01
8.000000e+06	  3	  3000	  1333	2.137172951010124e-03	3.162277660168377e+00	9.792322788175598e-01
9.000000e+06	  3	  3000	  2875	1.504883891498405e-03	4.216965034285820e+00	4.467899501541922e-01
1.000000e+07	  3	  3000	   718	1.234923068116078e-03	4.216965034285820e+00	9.692030376826491e-01
1.100000e+07	  3	  3000	  1837	1.132687479097550e-03	5.623413251903486e+00	8.578450151519881e-02
1.200000e+07	  3	  3000	   511	1.468736758514122e-03	5.623413251903486e+00	6.080938096961541e-01
1.300000e+07	  3	  3000	  2620	1.828773826386390e-03	5.623413251903486e+00	1.132010402486748e+00
1.400000e+07	  3	  3000	  2776	1.455750956264744e-03	5.623413251903486e+00	1.654853337433051e+00
1.500000e+07	  3	  3000	  2025	1.622431142816920e-03	7.498942093324552e+00	3.024012533078314e-01
1.600000e+07	  3	  3000	  1133	1.395634650488195e-03	7.498942093324552e+00	8.262266961865234e-01
1.700000e+07	  3	  3000	  2010	1.220151975953133e-03	7.498942093324552e+00	1.349403946859355e+00
1.800000e+07	  3	  3000	  2028	1.557805802560105e-03	7.498942093324552e+00	1.873548035311675e+00
1.900000e+07	  3	  3000	  2385	1.837431132011535e-03	7.498942093324552e+00	2.396836581672988e+00
2.000000e+07	  3	  3000	   698	1.896998652221287e-03	9.999999999999991e+00	4.180250932039958e-01
2.100000e+07	  3	  3000	   864	1.230970031544151e-03	9.999999999999991e+00	9.406820012451869e-01
2.200000e+07	  3	  3000	  2519	1.785859207867529e-03	9.999999999999991e+00	1.463088300188965e+00
2.300000e+07	  3	  3000	  1669	1.374233884023971e-03	9.999999999999991e+00	1.985826970749484e+00
2.400000e+07	  3	  3000	   872	2.025028114511644e-03	9.999999999999991e+00	2.509353938700090e+00
2.500000e+07	  3	  3000	  2678	1.515420468842451e-03	9.999999999999991e+00	3.032137562079189e+00
2.600000e+07	  3	  3000	   945	1.394530680821813e-03	1.333521432163323e+01	2.204048966526173e-01
2.700000e+07	  3	  3000	  1603	1.335009179796882e-03	1.333521432163323e+01	7.419848683689703e-01
2.800000e+07	  3	  3000	  2690	1.392682881170421e-03	1.333521432163323e+01	1.265758776530015e+00
2.900000e+07	  3	  3000	  1001	1.161808315053577e-03	1.333521432163323e+01	1.788525381953301e+00
3.000000e+07	  3	  3000	  2543	1.455424433294199e-03	1.333521432163323e+01	2.312058556287058e+00
3.100000e+07	  3	  3000	   630	1.762977709974061e-03	1.333521432163323e+01	2.833730119359415e+00
3.200000e+07	  3	  3000	  1179	1.569849039724870e-03	1.333521432163323e+01	3.357360498379727e+00
3.300000e+07	  3	  3000	  1100	1.796927948942102e-03	1.333521432163323e+01	3.879428668191044e+00
3.400000e+07	  3	  3000	   252	1.598699362241292e-03	1.333521432163323e+01	4.403189374996333e+00
3.500000e+07	  3	  3000	   241	1.403376194454261e-03	1.778279410038921e+01	4.769934582473275e-01
3.600000e+07	  3	  3000	  2958	1.392558853900468e-03	1.778279410038921e+01	1.001253662627875e+00
3.700000e+07	  3	  3000	  1042	1.609702600145009e-03	1.778279410038921e+01	1.522665818924625e+00
3.800000e+07	  3	  3000	  1802	2.004437893397884e-03	1.778279410038921e+01	2.047293203797886e+00
3.900000e+07	  3	  3000	  2503	1.936863240705100e-03	1.778279410038921e+01	2.570159272407675e+00
4.000000e+07	  3	  3000	  1572	1.638454779552770e-03	1.778279410038921e+01	3.093707205090184e+00
4.100000e+07	  3	  3000	   174	1.420349536765366e-03	1.778279410038921e+01	3.617605899130365e+00
4.200000e+07	  3	  3000	  2131	1.688618721875418e-03	1.778279410038921e+01	4.140182174356347e+00
4.300000e+07	  3	  3000	   711	1.362512408920783e-03	1.778279410038921e+01	4.664689329808631e+00
4.400000e+07	  3	  3000	  2306	3.037671723014304e-03	1.778279410038921e+01	5.187159135858248e+00
4.500000e+07	  3	  3000	   765	1.577343250750572e-03	1.778279410038921e+01	5.711443569298589e+00
4.600000e+07	  3	  3000	  2352	1.246360842335795e-03	2.371373705661653e+01	3.025027087478685e-01
4.700000e+07	  3	  3000	   125	1.414205728957098e-03	2.371373705661653e+01	8.266145969641879e-01
4.800000e+07	  3	  3000	   913	1.339206101889358e-03	2.371373705661653e+01	1.349030909084181e+00
4.900000e+07	  3	  3000	   301	1.523281956721440e-03	2.371373705661653e+01	1.874004751862541e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	  1368	1.833313648770952e-03	2.371373705661653e+01	2.395832290172358e+00
5.100000e+07	  3	  3000	  2547	1.427554853486372e-03	2.371373705661653e+01	2.920752891217082e+00
5.200000e+07	  3	  3000	  1123	2.028374158044458e-03	2.371373705661653e+01	3.442623417236749e+00
5.300000e+07	  3	  3000	   501	1.539508447719467e-03	2.371373705661653e+01	3.966482426518520e+00
5.400000e+07	  3	  3000	  2176	1.810971546498882e-03	2.371373705661653e+01	4.488959294720345e+00
5.500000e+07	  3	  3000	   435	1.333877362444959e-03	2.371373705661653e+01	5.012010688996196e+00
5.600000e+07	  3	  3000	   353	1.900646325577552e-03	2.371373705661653e+01	5.535863867533087e+00
5.700000e+07	  3	  3000	  2118	1.499172126236279e-03	2.371373705661653e+01	6.058947769129816e+00
5.800000e+07	  3	  3000	  1691	1.467630317336954e-03	2.371373705661653e+01	6.583040238635609e+00
5.900000e+07	  3	  3000	  1053	1.991993220915330e-03	2.371373705661653e+01	7.105494746948313e+00
6.000000e+07	  3	  3000	  2797	1.595920605390318e-03	2.371373705661653e+01	7.629714285938875e+00
6.100000e+07	  3	  3000	    64	1.353253045241992e-03	3.162277660168376e+01	2.423874859254624e-01
6.200000e+07	  3	  3000	  1752	1.501707760240269e-03	3.162277660168376e+01	7.665909951102418e-01
6.300000e+07	  3	  3000	  2574	1.305280757071934e-03	3.162277660168376e+01	1.289256155746405e+00
6.400000e+07	  3	  3000	  1843	2.335054273000578e-03	3.162277660168376e+01	1.812179458021914e+00
6.500000e+07	  3	  3000	  1493	1.855688473718121e-03	3.162277660168376e+01	2.333892951125990e+00
6.600000e+07	  3	  3000	  2690	1.388858671281345e-03	3.162277660168376e+01	2.856909044506471e+00
6.700000e+07	  3	  3000	  2283	1.310092815499697e-03	3.162277660168376e+01	3.380649626962786e+00
6.800000e+07	  3	  3000	  1125	1.501025576793243e-03	3.162277660168376e+01	3.903576475892039e+00
6.900000e+07	  3	  3000	   896	1.494107210663354e-03	3.162277660168376e+01	4.427041742521138e+00
7.000000e+07	  3	  3000	  1149	2.217141492130640e-03	3.162277660168376e+01	4.949326286735043e+00
7.100000e+07	  3	  3000	  1817	1.633292803497347e-03	3.162277660168376e+01	5.472427743089733e+00
7.200000e+07	  3	  3000	  2008	1.604265536221894e-03	3.162277660168376e+01	5.996034070009257e+00
7.300000e+07	  3	  3000	  1574	1.121622336007037e-03	3.162277660168376e+01	6.518672905334816e+00
7.400000e+07	  3	  3000	   915	1.529658976047628e-03	3.162277660168376e+01	7.042279154535330e+00
7.500000e+07	  3	  3000	  1448	1.305192910226595e-03	3.162277660168376e+01	7.565231852639037e+00
7.600000e+07	  3	  3000	  2031	1.765800299182018e-03	3.162277660168376e+01	8.088483091952098e+00
7.700000e+07	  3	  3000	   837	1.161233341384151e-03	3.162277660168376e+01	8.610269708423809e+00
7.800000e+07	  3	  3000	  2425	1.473943796205872e-03	3.162277660168376e+01	9.133509540050769e+00
7.900000e+07	  3	  3000	   542	1.833252130885624e-03	3.162277660168376e+01	9.657092688924415e+00
8.000000e+07	  3	  3000	  1746	1.828290640788062e-03	3.162277660168376e+01	1.017933008050493e+01
8.100000e+07	  3	  3000	  1468	1.868431521800964e-03	4.216965034285818e+01	1.556072145193730e-01
8.200000e+07	  3	  3000	   531	1.577223380241682e-03	4.216965034285818e+01	6.777967216626404e-01
8.300000e+07	  3	  3000	   696	1.507608290945022e-03	4.216965034285818e+01	1.200933698719019e+00
8.400000e+07	  3	  3000	  1348	1.361845105550623e-03	4.216965034285818e+01	1.723248367872784e+00
8.500000e+07	  3	  3000	   291	1.321296111490065e-03	4.216965034285818e+01	2.246404169269350e+00
8.600000e+07	  3	  3000	  1179	1.461091509821318e-03	4.216965034285818e+01	2.768505047082423e+00
8.700000e+07	  3	  3000	  1727	1.778058335658353e-03	4.216965034285818e+01	3.292136959618254e+00
8.800000e+07	  3	  3000	   628	1.679895529694141e-03	4.216965034285818e+01	3.814855516694164e+00
8.900000e+07	  3	  3000	  2101	1.765336631623884e-03	4.216965034285818e+01	4.339249209099225e+00
9.000000e+07	  3	  3000	  2153	1.369700747248752e-03	4.216965034285818e+01	4.861154481587802e+00
9.100000e+07	  3	  3000	  2576	1.822832366986827e-03	4.216965034285818e+01	5.385481874255190e+00
9.200000e+07	  3	  3000	  2178	1.825843338902775e-03	4.216965034285818e+01	5.905919947382510e+00
9.300000e+07	  3	  3000	  1246	1.400129119400230e-03	4.216965034285818e+01	6.429829387723949e+00
9.400000e+07	  3	  3000	  2151	1.684663178882688e-03	4.216965034285818e+01	6.952997083898016e+00
9.500000e+07	  3	  3000	  1528	1.761826803217089e-03	4.216965034285818e+01	7.475317945641149e+00
9.600000e+07	  3	  3000	   452	1.254641937683500e-03	4.216965034285818e+01	7.999193446594785e+00
9.700000e+07	  3	  3000	  1436	1.314136594088115e-03	4.216965034285818e+01	8.520777284753931e+00
9.800000e+07	  3	  3000	  2335	1.402620073519680e-03	4.216965034285818e+01	9.044380811928185e+00
9.900000e+07	  3	  3000	   911	1.324459562036070e-03	4.216965034285818e+01	9.566907025438857e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
1.000000e+08	  3	  3000	  1821	1.409003820634294e-03	4.216965034285818e+01	1.008998292813269e+01
1.010000e+08	  3	  3000	  2139	1.594838780846901e-03	4.216965034285818e+01	1.061257454389582e+01
1.020000e+08	  3	  3000	   261	1.204353617546075e-03	4.216965034285818e+01	1.113610255011700e+01
1.030000e+08	  3	  3000	  1278	1.970838575510196e-03	4.216965034285818e+01	1.165832529349376e+01
1.040000e+08	  3	  3000	   288	1.792091314319156e-03	4.216965034285818e+01	1.218141604445837e+01
1.050000e+08	  3	  3000	  2312	1.751829516420382e-03	4.216965034285818e+01	1.270329466461066e+01
1.060000e+08	  3	  3000	   647	1.797054138540520e-03	4.216965034285818e+01	1.322701681724291e+01
1.070000e+08	  3	  3000	  2558	1.709068385995277e-03	4.216965034285818e+01	1.374878618350679e+01
