myid = 5	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/rand06/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   389	1.714962143757586e-03	1.333521432163323e+00	2.518839715359595e-01
2.000000e+06	  1	  1000	   536	1.474275888458562e-03	3.162277660168377e+00	1.697485362823533e-03
collision No.1	4.180577e+00[yr]	i=1, j=582	r_ij=6.330556426095346e-05	radius[1]+radius[582]=6.338481524341289e-05
3.000000e+06	  1	  1000	    93	1.589698973435424e-03	4.216965034285820e+00	4.892195818152277e-01
collision No.2	4.718078e+00[yr]	i=1, j=730	r_ij=6.320497078715673e-05	radius[1]+radius[730]=6.338481524341289e-05
4.000000e+06	  1	  1000	   277	1.497595222811563e-03	5.623413251903486e+00	6.539182946234090e-01
collision No.3	7.501081e+00[yr]	i=1, j=813	r_ij=6.328309579438775e-05	radius[1]+radius[813]=6.338481524341289e-05
5.000000e+06	  1	  1000	   574	1.554841151402719e-03	7.498942093324552e+00	3.559371461590960e-01
6.000000e+06	  1	  1000	   979	1.541707651125393e-03	7.498942093324552e+00	1.938686099796535e+00
collision No.4	9.491600e+00[yr]	i=1, j=35	r_ij=6.327477814375645e-05	radius[1]+radius[35]=6.338481524341289e-05
7.000000e+06	  1	  1000	   684	1.583377365189850e-03	9.999999999999991e+00	1.010344025666547e+00
8.000000e+06	  1	  1000	   591	1.454736390459805e-03	9.999999999999991e+00	2.588216111177090e+00
9.000000e+06	  1	  1000	   215	1.782589462960462e-03	1.333521432163323e+01	8.249762196388729e-01
