myid = 30	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc3E-2_frag_acc/rand31/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc3E-2_frag_acc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
initial mass depletion timescale =2.936972e+01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   974	1.553506119023509e-03	1.333521432163323e+00	2.405339322609279e-01
2.000000e+06	  1	  1000	   545	1.443108526270742e-03	2.371373705661654e+00	7.834697783783053e-01
3.000000e+06	  1	  1000	   523	1.467558923435081e-03	4.216965034285820e+00	5.177522918812111e-01
4.000000e+06	  1	  1000	   220	1.390962244816258e-03	5.623413251903486e+00	6.917253899442357e-01
5.000000e+06	  1	  1000	   244	1.846487458031831e-03	7.498942093324552e+00	3.933895629378924e-01
collision No.1	8.642809e+00[yr]	i=1, j=866	r_ij=6.336119294052584e-05	radius[1]+radius[866]=6.338481524341289e-05
dE_heat=-1.219692e-09	dE_grav=1.223485e-09	dE_c=-4.661686e-17	v_imp=3.085689e-01
6.000000e+06	  1	   999	   678	1.567462236350631e-03	7.498942093324552e+00	1.974710452761551e+00
7.000000e+06	  1	   999	   163	1.438076544994190e-03	9.999999999999991e+00	1.049332919588662e+00
8.000000e+06	  1	   999	   174	1.665107510530732e-03	9.999999999999991e+00	2.632953205701817e+00
9.000000e+06	  1	   999	   704	1.640214503134066e-03	1.333521432163323e+01	8.754499052857579e-01
1.000000e+07	  1	   999	   886	1.785578177781284e-03	1.333521432163323e+01	2.456896540343446e+00
1.100000e+07	  1	   999	   483	1.650497688536417e-03	1.333521432163323e+01	4.038478547223163e+00
1.200000e+07	  1	   999	    72	1.757257960250401e-03	1.778279410038921e+01	1.176462693586998e+00
1.300000e+07	  1	   999	   205	1.654014993686089e-03	1.778279410038921e+01	2.758220928593219e+00
1.400000e+07	  1	   999	    38	1.492015419192335e-03	1.778279410038921e+01	4.339180862805284e+00
1.500000e+07	  1	   999	   339	1.669258217415646e-03	1.778279410038921e+01	5.920873875044981e+00
1.600000e+07	  1	   999	   598	1.371353775842176e-03	2.371373705661653e+01	1.571606141373671e+00
1.700000e+07	  1	   999	   142	1.751675453881307e-03	2.371373705661653e+01	3.151136985552248e+00
