myid = 2	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_frag_noacc/rand03/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_frag_noacc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
initial mass depletion timescale =1.149697e+01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  1552	1.359970135553210e-03	4.216965034285821e-01	9.894643958447928e-02
2.000000e+06	  3	  3000	    94	1.227781881077379e-03	9.999999999999994e-01	4.390744911857453e-02
3.000000e+06	  3	  3000	  2884	1.746971573831315e-03	1.333521432163323e+00	2.349929010987649e-01
4.000000e+06	  3	  3000	  1557	1.594360522590792e-03	1.778279410038922e+00	3.158581026374213e-01
5.000000e+06	  3	  3000	  2216	1.171514782079037e-03	2.371373705661654e+00	2.474040942055757e-01
6.000000e+06	  3	  3000	  1019	2.122889401990539e-03	2.371373705661654e+00	7.739477353190100e-01
7.000000e+06	  3	  3000	  2675	1.793070277640446e-03	3.162277660168377e+00	5.067107055819270e-01
8.000000e+06	  3	  3000	  1028	1.549700222902868e-03	3.162277660168377e+00	1.033918313545521e+00
9.000000e+06	  3	  3000	  1408	1.219172082828097e-03	4.216965034285820e+00	5.030104967166288e-01
1.000000e+07	  3	  3000	  2552	1.710947248352450e-03	4.216965034285820e+00	1.030214310268494e+00
1.100000e+07	  3	  3000	  1223	1.801242061337809e-03	5.623413251903486e+00	1.480760276515005e-01
1.200000e+07	  3	  3000	   231	1.704173744991459e-03	5.623413251903486e+00	6.751097368754837e-01
1.300000e+07	  3	  3000	   561	1.232546525562822e-03	5.623413251903486e+00	1.200215244400150e+00
1.400000e+07	  3	  3000	  2036	1.129871279488146e-03	5.623413251903486e+00	1.725781471787439e+00
1.500000e+07	  3	  3000	   963	1.650931939043603e-03	7.498942093324552e+00	3.751367085711760e-01
1.600000e+07	  3	  3000	  2681	1.456876356016046e-03	7.498942093324552e+00	9.001895409396106e-01
1.700000e+07	  3	  3000	  1134	1.987158596366437e-03	7.498942093324552e+00	1.425368672982237e+00
1.800000e+07	  3	  3000	  2349	1.635260618852219e-03	7.498942093324552e+00	1.952220620185831e+00
1.900000e+07	  3	  3000	  2729	1.574267639748685e-03	7.498942093324552e+00	2.477663613707636e+00
