myid = 9	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/rand10/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E5
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+05	  3	  3000	  2592	1.930094713047450e-03	0.000000000000000e+00	5.385124030087424e-02
2.000000e+05	  3	  3000	   991	1.210398908550093e-03	1.000000000000000e-01	6.011929613815334e-03
3.000000e+05	  3	  3000	  2239	1.225623593335865e-03	1.333521432163324e-01	2.479201630608118e-02
4.000000e+05	  3	  3000	  1958	1.710354567445631e-03	1.778279410038923e-01	3.242536648783556e-02
5.000000e+05	  3	  3000	  2154	1.429570691175337e-03	2.371373705661655e-01	2.518403556800571e-02
6.000000e+05	  3	  3000	   442	1.320881325663681e-03	2.371373705661655e-01	7.813435757768311e-02
7.000000e+05	  3	  3000	   978	1.624688037364039e-03	3.162277660168378e-01	4.862573626829461e-02
8.000000e+05	  3	  3000	  1926	1.895849235793926e-03	3.162277660168378e-01	1.015333349109383e-01
9.000000e+05	  3	  3000	   318	1.890646485384472e-03	4.216965034285821e-01	4.820023104452646e-02
1.000000e+06	  3	  3000	   803	1.884255524507280e-03	4.216965034285821e-01	1.013078123266970e-01
1.100000e+06	  3	  3000	  1791	1.600411814416779e-03	5.623413251903489e-01	1.278263464511738e-02
1.200000e+06	  3	  3000	  1619	2.040360681507401e-03	5.623413251903489e-01	6.364024834779063e-02
1.300000e+06	  3	  3000	   986	1.821944275813830e-03	5.623413251903489e-01	1.165937708627028e-01
1.400000e+06	  3	  3000	  2640	1.573725670412960e-03	5.623413251903489e-01	1.696829345371419e-01
1.500000e+06	  3	  3000	  1196	1.461578227981030e-03	7.498942093324554e-01	3.384684057234342e-02
1.600000e+06	  3	  3000	  1335	1.585854703184574e-03	7.498942093324554e-01	8.666014989684027e-02
1.700000e+06	  3	  3000	  2739	1.213772733750266e-03	7.498942093324554e-01	1.396603705050801e-01
1.800000e+06	  3	  3000	  2959	1.327801271637641e-03	7.498942093324554e-01	1.922103259418023e-01
1.900000e+06	  3	  3000	   366	1.200268363395584e-03	7.498942093324554e-01	2.450514836103710e-01
2.000000e+06	  3	  3000	   674	5.000271907472618e-05	9.999999999999994e-01	4.606892635194305e-02
2.100000e+06	  3	  3000	   211	4.731211183320356e-05	9.999999999999994e-01	9.827876812101061e-02
2.200000e+06	  3	  3000	  2597	1.432020469461201e-03	9.999999999999994e-01	1.511576349571283e-01
2.300000e+06	  3	  3000	  1951	1.210713228315337e-03	9.999999999999994e-01	2.036964317896779e-01
2.400000e+06	  3	  3000	  2876	1.195592117307640e-03	9.999999999999994e-01	2.554612860321214e-01
2.500000e+06	  3	  3000	  1209	1.854486222388206e-03	9.999999999999994e-01	3.084341844915328e-01
2.600000e+06	  3	  3000	   364	2.120092055035857e-03	1.333521432163323e+00	2.656270366163005e-02
2.700000e+06	  3	  3000	     1	1.771704036235942e-04	1.333521432163323e+00	7.867119074483857e-02
2.800000e+06	  3	  3000	  1887	1.241148394359427e-03	1.333521432163323e+00	1.283959971114003e-01
2.900000e+06	  3	  3000	  2277	1.476710135511671e-03	1.333521432163323e+00	1.804091763322984e-01
3.000000e+06	  3	  3000	  1544	1.377085099423686e-03	1.333521432163323e+00	2.326420623917440e-01
3.100000e+06	  3	  3000	  1815	1.329844634834621e-03	1.333521432163323e+00	2.847816194046006e-01
3.200000e+06	  3	  3000	  2404	1.327523966364367e-03	1.333521432163323e+00	3.370994128216175e-01
3.300000e+06	  3	  3000	   952	1.881005296225406e-03	1.333521432163323e+00	3.890176551802238e-01
3.400000e+06	  3	  3000	   106	1.704036120103985e-03	1.333521432163323e+00	4.412308055697324e-01
3.500000e+06	  3	  3000	  1466	1.426870841010855e-03	1.778279410038922e+00	4.642611284489473e-02
3.600000e+06	  3	  3000	  1815	1.415939005085151e-03	1.778279410038922e+00	9.733932710620646e-02
3.700000e+06	  3	  3000	   603	1.768510923510788e-03	1.778279410038922e+00	1.484768798301476e-01
3.800000e+06	  3	  3000	   501	1.548003975104104e-03	1.778279410038922e+00	1.989293038138201e-01
3.900000e+06	  3	  3000	  1039	1.499627766830442e-03	1.778279410038922e+00	2.495939445983089e-01
4.000000e+06	  3	  3000	   810	1.504584908106245e-03	1.778279410038922e+00	2.996022277669728e-01
4.100000e+06	  3	  3000	  2461	1.855920960085723e-03	1.778279410038922e+00	3.494681201444758e-01
4.200000e+06	  3	  3000	  1898	1.270363092326626e-03	1.778279410038922e+00	4.006486142658264e-01
4.300000e+06	  3	  3000	  2498	1.446304783221840e-03	1.778279410038922e+00	4.511127223139965e-01
4.400000e+06	  3	  3000	   313	1.929049398106596e-03	1.778279410038922e+00	5.014203106649817e-01
4.500000e+06	  3	  3000	  1085	1.985804791526885e-03	1.778279410038922e+00	5.515784642939155e-01
4.600000e+06	  3	  3000	  1922	1.700224014509399e-03	2.371373705661654e+00	8.857933141564744e-03
collision No.1	2.398280e+00[yr]	i=2, j=261	r_ij=6.325279822373242e-05	radius[2]+radius[261]=6.338481524341289e-05
4.700000e+06	  3	  3000	     1	2.226119288784933e-04	2.371373705661654e+00	5.895074608101634e-02
4.800000e+06	  3	  3000	  1735	1.948243956035320e-03	2.371373705661654e+00	1.091427515449642e-01
4.900000e+06	  3	  3000	  1051	1.900644338540016e-03	2.371373705661654e+00	1.584912934796189e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+06	  3	  3000	  2314	1.198351112068241e-03	2.371373705661654e+00	2.085298580799343e-01
5.100000e+06	  3	  3000	  1302	1.913727670256939e-03	2.371373705661654e+00	2.583993744487498e-01
5.200000e+06	  3	  3000	   374	1.776337062682425e-03	2.371373705661654e+00	3.092087836647887e-01
5.300000e+06	  3	  3000	   877	1.697094671871711e-03	2.371373705661654e+00	3.601617342146265e-01
5.400000e+06	  3	  3000	   458	1.338183015271431e-03	2.371373705661654e+00	4.106337020333889e-01
5.500000e+06	  3	  3000	   301	1.356104475905358e-03	2.371373705661654e+00	4.609811828579218e-01
5.600000e+06	  3	  3000	   181	1.714242111717788e-03	2.371373705661654e+00	5.106243449738519e-01
5.700000e+06	  3	  3000	  2888	1.203084902329821e-03	2.371373705661654e+00	5.607666884099447e-01
5.800000e+06	  3	  3000	   274	1.664928373606417e-03	2.371373705661654e+00	6.107947345484787e-01
5.900000e+06	  3	  3000	  1076	6.927194951504891e-06	2.371373705661654e+00	6.611759162437971e-01
6.000000e+06	  3	  3000	  2937	1.326447769186687e-03	2.371373705661654e+00	7.123396166669271e-01
6.100000e+06	  3	  3000	   875	1.271293895199463e-03	2.371373705661654e+00	7.625084755395466e-01
6.200000e+06	  3	  3000	  2624	1.593745713887256e-03	3.162277660168377e+00	2.078383919283280e-02
6.300000e+06	  3	  3000	  2173	1.482351728141451e-03	3.162277660168377e+00	7.198248869360813e-02
6.400000e+06	  3	  3000	  1406	1.300649233399856e-03	3.162277660168377e+00	1.225400725984117e-01
6.500000e+06	  3	  3000	   945	1.608489117691708e-03	3.162277660168377e+00	1.735332679286566e-01
6.600000e+06	  3	  3000	   598	1.387416315939274e-03	3.162277660168377e+00	2.233763625826365e-01
6.700000e+06	  3	  3000	  1448	1.183819233139385e-03	3.162277660168377e+00	2.748117586601233e-01
6.800000e+06	  3	  3000	   343	1.467954613118685e-03	3.162277660168377e+00	3.243929440987427e-01
6.900000e+06	  3	  3000	   429	1.442005213302262e-03	3.162277660168377e+00	3.759803422487567e-01
7.000000e+06	  3	  3000	  3002	1.920860060638615e-03	3.162277660168377e+00	4.273620399605554e-01
