myid = 3	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_noacc/rand04/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-18_ecc3E-2_frag_noacc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*3.0)
PLANET_INC	((0.01*3.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*3.0)
INC_RMS	((0.01*3.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-18
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=5.81724e-07
initial mass depletion timescale =2.974373e-01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	   850	1.494720509127972e-03	4.216965034285821e-01	7.540262732025839e-02
2.000000e+06	  3	  3000	  2070	1.233569658439191e-03	9.999999999999994e-01	1.776629992761347e-02
3.000000e+06	  3	  3000	   818	1.736941590250907e-03	1.333521432163323e+00	2.070703591127457e-01
4.000000e+06	  3	  3000	  2697	1.531444147816720e-03	1.778279410038922e+00	2.856510946930747e-01
5.000000e+06	  3	  3000	   182	1.601070043418846e-03	2.371373705661654e+00	2.165528240993886e-01
6.000000e+06	  3	  3000	  1538	1.642963771506999e-03	2.371373705661654e+00	7.406088745451022e-01
7.000000e+06	  3	  3000	   562	1.839216524185085e-03	3.162277660168377e+00	4.738180891277121e-01
8.000000e+06	  3	  3000	  2437	1.613309894680163e-03	3.162277660168377e+00	9.979135646345892e-01
collision No.1	4.258987e+00[yr]	i=2, j=1911	r_ij=6.315533145203295e-05	radius[2]+radius[1911]=6.338481524341289e-05
collision No.2	4.561161e+00[yr]	i=1, j=1280	r_ij=6.326489081838058e-05	radius[1]+radius[1280]=6.338481524341289e-05
9.000000e+06	  3	  3000	   664	1.504189463091237e-03	4.216965034285820e+00	4.674451760247418e-01
1.000000e+07	  3	  3000	  2591	2.043640878028998e-03	4.216965034285820e+00	9.925474421902064e-01
1.100000e+07	  3	  3000	  1517	1.513337843647306e-03	5.623413251903486e+00	1.100364749952858e-01
1.200000e+07	  3	  3000	   543	1.480538121754893e-03	5.623413251903486e+00	6.359556987267340e-01
1.300000e+07	  3	  3000	  2108	1.280421366241150e-03	5.623413251903486e+00	1.158179244946299e+00
1.400000e+07	  3	  3000	  2856	1.955905480522500e-03	5.623413251903486e+00	1.682836195489229e+00
1.500000e+07	  3	  3000	  2837	1.285777460093781e-03	7.498942093324552e+00	3.316726760620856e-01
1.600000e+07	  3	  3000	   799	1.526569078541227e-03	7.498942093324552e+00	8.566269880991265e-01
1.700000e+07	  3	  3000	   624	1.485232580134805e-03	7.498942093324552e+00	1.380419010572905e+00
1.800000e+07	  3	  3000	  1817	1.145930832244886e-03	7.498942093324552e+00	1.905835344148982e+00
1.900000e+07	  3	  3000	  2906	1.349970646218514e-03	7.498942093324552e+00	2.431774500147312e+00
2.000000e+07	  3	  3000	   144	1.136525622547425e-03	9.999999999999991e+00	4.533639687564129e-01
2.100000e+07	  3	  3000	  1232	1.520677958064896e-03	9.999999999999991e+00	9.783458300271519e-01
2.200000e+07	  3	  3000	  2262	1.502455864675415e-03	9.999999999999991e+00	1.503503451964283e+00
2.300000e+07	  3	  3000	  1986	1.822458631546547e-03	9.999999999999991e+00	2.027629360412406e+00
2.400000e+07	  3	  3000	  2732	1.615913774612112e-03	9.999999999999991e+00	2.553413483426668e+00
2.500000e+07	  3	  3000	  1874	1.861648468299601e-03	9.999999999999991e+00	3.077925407347925e+00
2.600000e+07	  3	  3000	  2320	1.999930299549543e-03	1.333521432163323e+01	2.686441069106623e-01
2.700000e+07	  3	  3000	   493	1.618694428281509e-03	1.333521432163323e+01	7.928719846923838e-01
2.800000e+07	  3	  3000	  1794	1.766734583183285e-03	1.333521432163323e+01	1.318773358586739e+00
2.900000e+07	  3	  3000	  2178	1.563422980335321e-03	1.333521432163323e+01	1.841034211208621e+00
3.000000e+07	  3	  3000	   986	1.689815648893598e-03	1.333521432163323e+01	2.366935447430704e+00
3.100000e+07	  3	  3000	  1991	1.827409420580996e-03	1.333521432163323e+01	2.891988056438141e+00
3.200000e+07	  3	  3000	   719	1.398765579729345e-03	1.333521432163323e+01	3.416795869566831e+00
3.300000e+07	  3	  3000	  1453	1.806062277493048e-03	1.333521432163323e+01	3.940343223384530e+00
3.400000e+07	  3	  3000	  2557	1.294884305598985e-03	1.778279410038921e+01	1.697313084908061e-02
3.500000e+07	  3	  3000	  1812	1.568256084575272e-03	1.778279410038921e+01	5.418559729323661e-01
3.600000e+07	  3	  3000	  2803	1.810913146746157e-03	1.778279410038921e+01	1.067508017470498e+00
3.700000e+07	  3	  3000	    98	1.577012600580947e-03	1.778279410038921e+01	1.591478002838518e+00
3.800000e+07	  3	  3000	  1654	1.608008066173397e-03	1.778279410038921e+01	2.115838950120434e+00
3.900000e+07	  3	  3000	  2183	1.190243779243705e-03	1.778279410038921e+01	2.640748200769605e+00
4.000000e+07	  3	  3000	  2312	1.888245813719318e-03	1.778279410038921e+01	3.166705713503589e+00
4.100000e+07	  3	  3000	  1473	1.584266040922135e-03	1.778279410038921e+01	3.691291596623300e+00
4.200000e+07	  3	  3000	  1223	1.404394721125241e-03	1.778279410038921e+01	4.216783010182763e+00
4.300000e+07	  3	  3000	  2913	1.636065930995362e-03	1.778279410038921e+01	4.740474886767984e+00
4.400000e+07	  3	  3000	  1695	1.163527280318020e-03	1.778279410038921e+01	5.265293654906684e+00
4.500000e+07	  3	  3000	  2063	1.632462717576501e-03	1.778279410038921e+01	5.790156594486494e+00
4.600000e+07	  3	  3000	   156	1.579257940322323e-03	2.371373705661653e+01	3.837683069621751e-01
4.700000e+07	  3	  3000	  2435	1.955058465615834e-03	2.371373705661653e+01	9.080381728174295e-01
4.800000e+07	  3	  3000	  2283	1.432408508465743e-03	2.371373705661653e+01	1.433674265240943e+00
4.900000e+07	  3	  3000	  2563	2.002646229625028e-03	2.371373705661653e+01	1.959669669559519e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	  2392	1.879746276679260e-03	2.371373705661653e+01	2.483461269034161e+00
5.100000e+07	  3	  3000	  1707	1.070120416395873e-03	2.371373705661653e+01	3.009141859819461e+00
5.200000e+07	  3	  3000	   545	1.491719575875284e-03	2.371373705661653e+01	3.533159567360242e+00
5.300000e+07	  3	  3000	  1824	1.647507563945944e-03	2.371373705661653e+01	4.059257533121245e+00
5.400000e+07	  3	  3000	  2322	1.229756868810236e-03	2.371373705661653e+01	4.583228385698106e+00
5.500000e+07	  3	  3000	   888	1.537040940713211e-03	2.371373705661653e+01	5.108276224611779e+00
5.600000e+07	  3	  3000	  1825	1.285099481007308e-03	2.371373705661653e+01	5.632355634880565e+00
5.700000e+07	  3	  3000	   121	1.395336053869352e-03	2.371373705661653e+01	6.156859817841025e+00
