OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_frag_rand1/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_frag_rand1/
N_tr	1000
N_p	1
RAND_SEED	1
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	0.01
INC_RMS	0.005
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
alpha=1.679440	s_1=3.716647	s_2=12.601774	s_3=2.859305
initial mass depletion timescale =	1.306925e+02 [yr]
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   158	1.670306561394380e-03	1.000000000000000e+00	5.734585218991264e-01
collision No.1	2.546943e+00[yr]	i=1, j=455	r_ij=6.330124059780987e-05	radius[1]+radius[455]=6.338481524341289e-05
2.000000e+06	  1	  1000	   540	1.644935082483595e-03	3.000000000000000e+00	1.392924106958364e-01
collision No.2	3.235590e+00[yr]	i=1, j=912	r_ij=6.331145872525936e-05	radius[1]+radius[912]=6.338481524341289e-05
3.000000e+06	  1	  1000	   776	1.395020925859080e-03	4.000000000000000e+00	7.089604286738854e-01
4.000000e+06	  1	  1000	   381	1.663152894933963e-03	6.000000000000000e+00	2.954831006791408e-01
5.000000e+06	  1	  1000	   387	1.466482428401812e-03	7.000000000000000e+00	8.642797773601750e-01
6.000000e+06	  1	  1000	   334	1.711142429831163e-03	9.000000000000000e+00	4.581395433645956e-01
collision No.3	1.079123e+01[yr]	i=1, j=74	r_ij=6.321871697091401e-05	radius[1]+radius[74]=6.338481524341289e-05
7.000000e+06	  1	  1000	    10	1.453029989111004e-03	1.100000000000000e+01	1.938281747376320e-02
8.000000e+06	  1	  1000	   136	1.592154209045186e-03	1.200000000000000e+01	5.962539942087837e-01
9.000000e+06	  1	  1000	   107	1.642013960602000e-03	1.400000000000000e+01	1.847190633393025e-01
1.000000e+07	  1	  1000	     8	1.673686406142991e-03	1.500000000000000e+01	7.531770720765949e-01
1.100000e+07	  1	  1000	   340	1.668654505684874e-03	1.700000000000001e+01	3.352689788891878e-01
1.200000e+07	  1	  1000	   316	1.463917590930150e-03	1.800000000000001e+01	9.272694277293526e-01
1.300000e+07	  1	  1000	   668	1.586326711800110e-03	2.000000000000001e+01	5.000923826426797e-01
collision No.4	2.136209e+01[yr]	i=1, j=224	r_ij=6.333088413518349e-05	radius[1]+radius[224]=6.338481524341289e-05
1.400000e+07	  1	  1000	   426	1.400464700875021e-03	2.200000000000001e+01	7.827981737411310e-02
1.500000e+07	  1	  1000	   336	1.850111991919347e-03	2.300000000000001e+01	6.436974800179703e-01
collision No.5	2.509451e+01[yr]	i=1, j=897	r_ij=6.332550066915459e-05	radius[1]+radius[897]=6.338481524341289e-05
1.600000e+07	  1	  1000	   163	1.578618541455397e-03	2.500000000000001e+01	2.271541573829111e-01
collision No.6	2.678646e+01[yr]	i=1, j=528	r_ij=6.326914728459482e-05	radius[1]+radius[528]=6.338481524341289e-05
1.700000e+07	  1	  1000	   104	1.423264594159705e-03	2.600000000000002e+01	8.065135054266833e-01
collision No.7	2.717705e+01[yr]	i=1, j=599	r_ij=6.335867372054063e-05	radius[1]+radius[599]=6.338481524341289e-05
1.800000e+07	  1	  1000	    96	1.558760293037828e-03	2.800000000000002e+01	3.866702104139542e-01
1.900000e+07	  1	  1000	   129	1.538526498248542e-03	2.900000000000002e+01	9.707618804335583e-01
collision No.8	3.127502e+01[yr]	i=1, j=727	r_ij=6.327671863737261e-05	radius[1]+radius[727]=6.338481524341289e-05
2.000000e+07	  1	  1000	   704	1.759668897846203e-03	3.100000000000002e+01	5.341359458251587e-01
2.100000e+07	  1	  1000	   919	1.752720932702658e-03	3.300000000000002e+01	1.147518850643015e-01
2.200000e+07	  1	  1000	   753	1.565323142474128e-03	3.400000000000003e+01	6.915898126922775e-01
