OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_all_frag_rand1/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_all_frag_rand1/
N_tr	1000
N_p	1
RAND_SEED	1
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	1
INTERACTION_PLANET_TRACER	0
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	0.01
INC_RMS	0.005
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
alpha=1.679440	s_1=3.716647	s_2=12.601774	s_3=2.859305
initial mass depletion timescale =	1.306925e+02 [yr]
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   179	1.696322646466637e-03	1.000000000000000e+00	4.740697107263188e-01
2.000000e+06	  1	  1000	   532	1.199551122103514e-03	2.000000000000000e+00	9.487773626028307e-01
3.000000e+06	  1	  1000	   368	1.611463152446995e-03	4.000000000000000e+00	4.336979742931700e-01
4.000000e+06	  1	  1000	   525	1.554903442413140e-03	5.000000000000000e+00	8.953407919871759e-01
5.000000e+06	  1	  1000	   157	1.598052051121212e-03	7.000000000000000e+00	2.886426478873909e-01
6.000000e+06	  1	  1000	   398	1.322794439219946e-05	8.000000000000000e+00	3.416633574075879e-01
7.000000e+06	  1	  1000	   766	1.633584927980993e-03	9.000000000000000e+00	2.393628981008858e-01
8.000000e+06	  1	  1000	   973	1.448443167700313e-03	1.000000000000000e+01	1.217222186083354e-01
collision No.1	1.066072e+01[yr]	i=1, j=154	r_ij=6.335474408375376e-05	radius[1]+radius[154]=6.338481524341289e-05
9.000000e+06	  1	  1000	   971	1.396270518530856e-03	1.100000000000000e+01	5.612629003771643e-02
1.000000e+07	  1	  1000	   398	2.652102461106810e-06	1.100000000000000e+01	9.319852795064012e-01
1.100000e+07	  1	  1000	   591	5.896009670792809e-05	1.200000000000000e+01	7.979105915706051e-01
1.200000e+07	  1	  1000	   402	1.528870846393898e-03	1.300000000000000e+01	6.658098572450757e-01
1.300000e+07	  1	  1000	   124	1.917465427317972e-06	1.400000000000000e+01	5.043568433266480e-01
1.400000e+07	  1	  1000	   124	3.206983191619029e-06	1.500000000000000e+01	2.919906272069545e-01
1.500000e+07	  1	  1000	   827	1.619979550662610e-03	1.600000000000000e+01	4.204748303294772e-02
1.600000e+07	  1	  1000	    56	1.586664361056315e-03	1.600000000000000e+01	8.002331838182007e-01
