OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_nofrag_rand2/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_nofrag_rand2/
N_tr	1000
N_p	1
RAND_SEED	2
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	0.01
INC_RMS	0.005
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   816	1.610995712315749e-03	1.000000000000000e+00	5.910270686592985e-01
2.000000e+06	  1	  1000	   560	1.506524376797979e-03	3.000000000000000e+00	1.835301650721388e-01
3.000000e+06	  1	  1000	   266	1.517281666677273e-03	4.000000000000000e+00	7.616655666977606e-01
collision No.1	6.218066e+00[yr]	i=1, j=262	r_ij=6.337957830367660e-05	radius[1]+radius[262]=6.338481524341289e-05
4.000000e+06	  1	  1000	   210	1.515215490232336e-03	6.000000000000000e+00	3.374092597214680e-01
5.000000e+06	  1	  1000	   881	1.763916751927438e-03	7.000000000000000e+00	9.012365348864068e-01
collision No.2	8.633505e+00[yr]	i=1, j=74	r_ij=6.336970742255461e-05	radius[1]+radius[74]=6.338481524341289e-05
collision No.3	9.303987e+00[yr]	i=1, j=146	r_ij=6.331830561065598e-05	radius[1]+radius[146]=6.338481524341289e-05
6.000000e+06	  1	  1000	   967	1.607013032274666e-03	9.000000000000000e+00	4.625564209323549e-01
7.000000e+06	  1	  1000	   526	1.668929414643106e-03	1.100000000000000e+01	5.088827903963569e-02
8.000000e+06	  1	  1000	   894	1.628645826127311e-03	1.200000000000000e+01	6.292378349235485e-01
9.000000e+06	  1	  1000	   524	1.675498676808046e-03	1.400000000000000e+01	1.957069140923678e-01
