OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_frag_rand1/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3yr_dt1yr_Mtot3E-5_ecc1E-2_inc5E-3_frag_rand1/
N_tr	3000
N_p	3
RAND_SEED	1
STEP_INTERVAL	1.0E6
BREAK_TIME	14000.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	0
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	0.01
PLANET_INC	0.005
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	0.01
INC_RMS	0.005
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	0
DT_ENE	(2.0*3.14159265358979323846*1.0E0)
-----
alpha=1.679440	s_1=3.716647	s_2=12.601774	s_3=2.859305
initial mass depletion timescale =	1.335678e+02 [yr]
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	   125	1.418027757040600e-03	0.000000000000000e+00	5.290517740093664e-01
2.000000e+06	  3	  3000	  2691	2.110153676180636e-03	1.000000000000000e+00	5.266106841435790e-02
collision No.1	1.334257e+00[yr]	i=2, j=2980	r_ij=6.335474225242396e-05	radius[2]+radius[2980]=6.338481524341289e-05
3.000000e+06	  3	  3000	    31	1.404502731657934e-03	1.000000000000000e+00	5.770083578839459e-01
4.000000e+06	  3	  3000	  2903	1.420484359176836e-03	2.000000000000000e+00	1.021387510851264e-01
5.000000e+06	  3	  3000	   613	1.861993713162496e-03	2.000000000000000e+00	6.311758952803732e-01
6.000000e+06	  3	  3000	  1456	1.504856264112301e-03	3.000000000000000e+00	1.557283360565830e-01
7.000000e+06	  3	  3000	  1147	1.263457574031776e-03	3.000000000000000e+00	6.827711508023783e-01
collision No.2	4.001719e+00[yr]	i=1, j=2215	r_ij=6.336123992498418e-05	radius[1]+radius[2215]=6.338481524341289e-05
8.000000e+06	  3	  3000	  2726	1.369038848843989e-03	4.000000000000000e+00	2.091188905594632e-01
9.000000e+06	  3	  3000	   543	1.627579055722186e-03	4.000000000000000e+00	7.377628539290788e-01
1.000000e+07	  3	  3000	  2459	1.901481736360814e-03	5.000000000000000e+00	2.651030406034766e-01
1.100000e+07	  3	  3000	  2106	1.657897311225344e-03	5.000000000000000e+00	7.936717172906843e-01
1.200000e+07	  3	  3000	  1903	1.415767391762727e-03	6.000000000000000e+00	3.204372238993206e-01
1.300000e+07	  3	  3000	  1307	1.253318027268454e-03	6.000000000000000e+00	8.504971323494535e-01
collision No.3	7.111965e+00[yr]	i=2, j=140	r_ij=6.335401552466387e-05	radius[2]+radius[140]=6.338481524341289e-05
1.400000e+07	  3	  3000	  2149	1.377082244150622e-03	7.000000000000000e+00	3.762228087524797e-01
1.500000e+07	  3	  3000	  2669	2.149926748803532e-03	7.000000000000000e+00	9.012430151508308e-01
1.600000e+07	  3	  3000	  2376	1.304561286373182e-03	8.000000000000000e+00	4.282676684100960e-01
collision No.4	8.499841e+00[yr]	i=1, j=1649	r_ij=6.333505355201191e-05	radius[1]+radius[1649]=6.338481524341289e-05
1.700000e+07	  3	  3000	  2206	1.839725156778151e-03	8.000000000000000e+00	9.576720594948147e-01
1.800000e+07	  3	  3000	   808	1.184372157149842e-03	9.000000000000000e+00	4.843904485991991e-01
1.900000e+07	  3	  3000	   359	1.658247477414035e-03	1.000000000000000e+01	6.119413705450381e-03
collision No.5	1.004401e+01[yr]	i=1, j=412	r_ij=6.333166294590559e-05	radius[1]+radius[412]=6.338481524341289e-05
2.000000e+07	  3	  3000	    44	1.849387850779521e-03	1.000000000000000e+01	5.264132934676876e-01
2.100000e+07	  3	  3000	   392	1.578024224058892e-03	1.100000000000000e+01	4.817442429626366e-02
2.200000e+07	  3	  3000	  1551	1.880831228273402e-03	1.100000000000000e+01	5.686982888936727e-01
2.300000e+07	  3	  3000	   296	1.931696177074239e-03	1.200000000000000e+01	8.663735213950080e-02
2.400000e+07	  3	  3000	   654	1.602806454028676e-03	1.200000000000000e+01	6.140773436416506e-01
2.500000e+07	  3	  3000	    72	7.794599197682530e-06	1.300000000000000e+01	1.388135981644245e-01
2.600000e+07	  3	  3000	  1175	1.394780236036995e-03	1.300000000000000e+01	6.623211946760712e-01
