myid = 5	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_frag_acc/rand06/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_frag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E5
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
initial mass depletion timescale =1.257868e+02 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+05	  3	  3000	   497	1.745091597642677e-03	0.000000000000000e+00	5.393710351102738e-02
2.000000e+05	  3	  3000	  2974	1.711747868632140e-03	1.000000000000000e-01	6.164587796445336e-03
3.000000e+05	  3	  3000	   455	1.428755415123210e-03	1.333521432163324e-01	2.496194627114132e-02
4.000000e+05	  3	  3000	  2713	1.429962906230142e-03	1.778279410038923e-01	3.267606174466131e-02
5.000000e+05	  3	  3000	  2963	1.771477001815435e-03	2.371373705661655e-01	2.559641868870716e-02
6.000000e+05	  3	  3000	  1377	1.601241298640225e-03	2.371373705661655e-01	7.868582086254511e-02
7.000000e+05	  3	  3000	  1494	1.406750923160671e-03	3.162277660168378e-01	5.181942982748037e-02
collision No.1	3.976074e-01[yr]	i=2, j=1736	r_ij=6.330946848961489e-05	radius[2]+radius[1736]=6.338481524341289e-05
dE_heat=-1.421945e-09	dE_grav=1.421588e-09	dE_c=7.835615e-17	v_imp=3.094257e-01
8.000000e+05	  3	  2999	  1197	1.796659059011253e-03	3.162277660168378e-01	1.047408928767763e-01
9.000000e+05	  3	  2999	  1992	1.711339517575316e-03	4.216965034285821e-01	5.165629620118940e-02
1.000000e+06	  3	  2999	  1484	1.767444886586486e-03	4.216965034285821e-01	1.048821332345790e-01
1.100000e+06	  3	  2999	  2508	1.296533884833446e-03	5.623413251903489e-01	1.427970897327814e-02
1.200000e+06	  3	  2999	  1043	1.216203370221042e-03	5.623413251903489e-01	6.732411553575816e-02
1.300000e+06	  3	  2999	  1629	2.052826962057713e-03	5.623413251903489e-01	1.204353476314277e-01
1.400000e+06	  3	  2999	  1956	1.302373736065271e-03	5.623413251903489e-01	1.735705601938910e-01
1.500000e+06	  3	  2999	  1453	1.294319971177628e-03	7.498942093324554e-01	3.822743275476694e-02
1.600000e+06	  3	  2999	  1561	1.632459167415917e-03	7.498942093324554e-01	9.132562910128098e-02
1.700000e+06	  3	  2999	   199	1.190522189063470e-03	7.498942093324554e-01	1.444544831301261e-01
1.800000e+06	  3	  2999	  1303	1.344045547480903e-03	7.498942093324554e-01	1.975308998071056e-01
1.900000e+06	  3	  2999	   869	1.745814793667108e-03	7.498942093324554e-01	2.492358395863274e-01
2.000000e+06	  3	  2999	  1871	1.711042774135695e-03	9.999999999999994e-01	5.136896096429831e-02
2.100000e+06	  3	  2999	   439	1.778450441977780e-03	9.999999999999994e-01	1.045231200019795e-01
2.200000e+06	  3	  2999	  2063	1.382864762970854e-03	9.999999999999994e-01	1.563075718613213e-01
2.300000e+06	  3	  2999	  1763	2.007026047794054e-03	9.999999999999994e-01	2.093826407309851e-01
2.400000e+06	  3	  2999	  2413	1.609695491716977e-03	9.999999999999994e-01	2.626044028275048e-01
