myid = 37	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/rand38/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   357	1.576200829693673e-03	1.333521432163323e+00	2.521756435051306e-01
2.000000e+06	  1	  1000	   480	1.585347504388043e-03	3.162277660168377e+00	1.805313418273661e-03
3.000000e+06	  1	  1000	   797	1.659561340831823e-03	4.216965034285820e+00	5.059485918402916e-01
4.000000e+06	  1	  1000	   892	1.641191885797043e-03	5.623413251903486e+00	6.609685635740360e-01
collision No.1	6.887027e+00[yr]	i=1, j=63	r_ij=6.333253872570186e-05	radius[1]+radius[63]=6.338481524341289e-05
5.000000e+06	  1	  1000	   220	1.448286318032187e-03	7.498942093324552e+00	3.445779830692340e-01
collision No.2	7.994511e+00[yr]	i=1, j=862	r_ij=6.336373029409916e-05	radius[1]+radius[862]=6.338481524341289e-05
collision No.3	8.306139e+00[yr]	i=1, j=330	r_ij=6.331131301954241e-05	radius[1]+radius[330]=6.338481524341289e-05
6.000000e+06	  1	  1000	   808	1.533019004466723e-03	7.498942093324552e+00	1.922849682365149e+00
7.000000e+06	  1	  1000	   838	1.559724980626397e-03	9.999999999999991e+00	9.930148014735775e-01
8.000000e+06	  1	  1000	    65	1.523962311778301e-03	9.999999999999991e+00	2.563306155537223e+00
9.000000e+06	  1	  1000	   166	1.447876813301875e-03	1.333521432163323e+01	8.084002423992502e-01
1.000000e+07	  1	  1000	   650	1.607110871797640e-03	1.333521432163323e+01	2.384306283118991e+00
1.100000e+07	  1	  1000	   757	1.620748777621130e-03	1.333521432163323e+01	3.961320154769406e+00
