myid = 18	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/rand19/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   431	1.579691356451036e-03	1.333521432163323e+00	1.517876808789810e-01
2.000000e+06	  1	  1000	   181	1.762401265497233e-03	2.371373705661654e+00	5.768902343105491e-01
collision No.1	4.084807e+00[yr]	i=1, j=56	r_ij=6.336353807215668e-05	radius[1]+radius[56]=6.338481524341289e-05
3.000000e+06	  1	  1000	   672	1.580200837586589e-03	4.216965034285820e+00	6.285814403383895e-02
4.000000e+06	  1	  1000	     1	2.803186727596785e-07	5.623413251903486e+00	4.471852195343815e-03
collision No.2	6.051466e+00[yr]	i=1, j=62	r_ij=6.328893342906536e-05	radius[1]+radius[62]=6.338481524341289e-05
collision No.3	6.604374e+00[yr]	i=1, j=90	r_ij=6.338366463985078e-05	radius[1]+radius[90]=6.338481524341289e-05
collision No.4	6.612160e+00[yr]	i=1, j=708	r_ij=6.320766664217653e-05	radius[1]+radius[708]=6.338481524341289e-05
5.000000e+06	  1	  1000	   453	1.443859542695104e-03	5.623413251903486e+00	1.478618635482166e+00
6.000000e+06	  1	  1000	   335	1.722893986446570e-03	7.498942093324552e+00	1.024149523074225e+00
collision No.5	9.157724e+00[yr]	i=1, j=22	r_ij=6.320184171844362e-05	radius[1]+radius[22]=6.338481524341289e-05
7.000000e+06	  1	  1000	   725	1.551245213863086e-03	7.498942093324552e+00	2.375015658598497e+00
8.000000e+06	  1	  1000	   290	1.551596950800597e-03	9.999999999999991e+00	1.206264686297096e+00
collision No.6	1.120775e+01[yr]	i=1, j=121	r_ij=6.324509817657986e-05	radius[1]+radius[121]=6.338481524341289e-05
9.000000e+06	  1	  1000	   657	1.515748839216643e-03	9.999999999999991e+00	2.516738996733251e+00
collision No.7	1.317868e+01[yr]	i=1, j=943	r_ij=6.331076829945964e-05	radius[1]+radius[943]=6.338481524341289e-05
1.000000e+07	  1	  1000	   797	5.650911501638640e-06	1.333521432163323e+01	4.902127158605571e-01
1.100000e+07	  1	  1000	   912	1.524695136003519e-03	1.333521432163323e+01	1.756420881656077e+00
1.200000e+07	  1	  1000	   270	1.735930752534450e-03	1.333521432163323e+01	2.995858470515811e+00
1.300000e+07	  1	  1000	   181	1.636060286395534e-03	1.333521432163323e+01	4.190040572986070e+00
collision No.8	1.792482e+01[yr]	i=1, j=524	r_ij=6.320678124805349e-05	radius[1]+radius[524]=6.338481524341289e-05
1.400000e+07	  1	  1000	     3	1.673885693649268e-03	1.778279410038921e+01	9.117782100465277e-01
1.500000e+07	  1	  1000	   673	1.726366571839327e-03	1.778279410038921e+01	2.085853055376596e+00
1.600000e+07	  1	  1000	   110	1.643098998062531e-03	1.778279410038921e+01	3.245883300649181e+00
1.700000e+07	  1	  1000	   573	1.591027778871208e-03	1.778279410038921e+01	4.419954918307464e+00
