myid = 12	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_acc/rand13/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  1663	1.267488260333983e-03	4.216965034285821e-01	9.913086071944377e-02
2.000000e+06	  3	  3000	  1331	1.565003596607630e-03	9.999999999999994e-01	4.236128439030472e-02
3.000000e+06	  3	  3000	   587	1.780516711186757e-03	1.333521432163323e+00	2.328315036810284e-01
4.000000e+06	  3	  3000	  2983	1.381778690829292e-03	1.778279410038922e+00	3.109006613131448e-01
5.000000e+06	  3	  3000	  1502	2.128310049441516e-03	2.371373705661654e+00	2.429338062545301e-01
6.000000e+06	  3	  3000	   494	1.294386247984079e-03	2.371373705661654e+00	7.669012733074365e-01
7.000000e+06	  3	  3000	  2330	1.663393815564722e-03	3.162277660168377e+00	5.012099587492632e-01
8.000000e+06	  3	  3000	  2067	1.949032317662757e-03	3.162277660168377e+00	1.025880909122646e+00
9.000000e+06	  3	  3000	    82	1.391827693547255e-03	4.216965034285820e+00	4.969343709204207e-01
1.000000e+07	  3	  3000	   186	1.547148653673606e-03	4.216965034285820e+00	1.021177040630116e+00
1.100000e+07	  3	  3000	  1908	1.537838081397554e-03	5.623413251903486e+00	1.405824839102781e-01
1.200000e+07	  3	  3000	   354	1.909577704724084e-03	5.623413251903486e+00	6.651132947641919e-01
1.300000e+07	  3	  3000	  1073	2.069880840717356e-03	5.623413251903486e+00	1.191360099120408e+00
1.400000e+07	  3	  3000	   750	1.552034940777119e-03	5.623413251903486e+00	1.716199857697390e+00
1.500000e+07	  3	  3000	   626	1.846157397808198e-03	7.498942093324552e+00	3.658652053408855e-01
1.600000e+07	  3	  3000	   622	1.805953694551130e-03	7.498942093324552e+00	8.910231782003910e-01
1.700000e+07	  3	  3000	    10	1.607775850833620e-03	7.498942093324552e+00	1.417014334948647e+00
1.800000e+07	  3	  3000	  2166	1.665794926625540e-03	7.498942093324552e+00	1.942396424789308e+00
1.900000e+07	  3	  3000	   858	1.576512659192837e-03	7.498942093324552e+00	2.468028955850338e+00
2.000000e+07	  3	  3000	  2795	1.951556276695941e-03	9.999999999999991e+00	4.912318915490373e-01
2.100000e+07	  3	  3000	  1484	1.660604653588763e-03	9.999999999999991e+00	1.016185890689197e+00
2.200000e+07	  3	  3000	  1698	1.612172455994247e-03	9.999999999999991e+00	1.541929976762988e+00
2.300000e+07	  3	  3000	  1256	1.233062255436965e-03	9.999999999999991e+00	2.066279863323019e+00
2.400000e+07	  3	  3000	  1984	1.996451984332012e-03	9.999999999999991e+00	2.591960466732074e+00
2.500000e+07	  3	  3000	  2592	1.257469859498476e-03	9.999999999999991e+00	3.117003967082302e+00
2.600000e+07	  3	  3000	  2112	1.272008109948144e-03	1.333521432163323e+01	3.069750632267094e-01
2.700000e+07	  3	  3000	  2929	2.061269220765511e-03	1.333521432163323e+01	8.307555118109198e-01
2.800000e+07	  3	  3000	  1213	1.961463655889529e-03	1.333521432163323e+01	1.357173637044991e+00
2.900000e+07	  3	  3000	   463	2.351851372925602e-03	1.333521432163323e+01	1.882438197039120e+00
3.000000e+07	  3	  3000	  2829	1.171993143963002e-03	1.333521432163323e+01	2.408280586777970e+00
3.100000e+07	  3	  3000	   910	1.572520507423673e-03	1.333521432163323e+01	2.933792280303929e+00
3.200000e+07	  3	  3000	   718	1.357651467245939e-03	1.333521432163323e+01	3.459370640144840e+00
3.300000e+07	  3	  3000	  2257	1.526246308469063e-03	1.333521432163323e+01	3.985040193341633e+00
3.400000e+07	  3	  3000	   286	1.568880045205639e-03	1.778279410038921e+01	6.175689350421804e-02
3.500000e+07	  3	  3000	   160	2.006414698472731e-03	1.778279410038921e+01	5.870651522123358e-01
3.600000e+07	  3	  3000	  1272	2.064430387848123e-03	1.778279410038921e+01	1.112775329561680e+00
3.700000e+07	  3	  3000	  2532	1.693734061229578e-03	1.778279410038921e+01	1.637940307083120e+00
3.800000e+07	  3	  3000	  2503	1.253206404722623e-03	1.778279410038921e+01	2.163758962028270e+00
3.900000e+07	  3	  3000	   381	1.911295903622343e-03	1.778279410038921e+01	2.688796947057862e+00
4.000000e+07	  3	  3000	   682	1.632815040217238e-03	1.778279410038921e+01	3.214395006442182e+00
4.100000e+07	  3	  3000	   866	1.266298115888523e-03	1.778279410038921e+01	3.740104058234611e+00
4.200000e+07	  3	  3000	  2901	2.344366812197109e-03	1.778279410038921e+01	4.263599313557770e+00
4.300000e+07	  3	  3000	  1952	1.720626023413864e-03	1.778279410038921e+01	4.789332707963135e+00
4.400000e+07	  3	  3000	  1527	1.715172578976883e-03	1.778279410038921e+01	5.313910332245849e+00
4.500000e+07	  3	  3000	  1061	1.856992088382174e-03	1.778279410038921e+01	5.840024034948081e+00
4.600000e+07	  3	  3000	   698	1.478807970761796e-03	2.371373705661653e+01	4.329735020823947e-01
4.700000e+07	  3	  3000	  2573	1.147896278638069e-03	2.371373705661653e+01	9.588700867433341e-01
4.800000e+07	  3	  3000	  2906	2.931172419854747e-03	2.371373705661653e+01	1.483315789086244e+00
4.900000e+07	  3	  3000	  2431	1.774074789130129e-03	2.371373705661653e+01	2.009196399408463e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	   783	1.301375591911570e-03	2.371373705661653e+01	2.533650686222822e+00
