myid = 10	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/rand11/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E5
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+05	  3	  3000	   726	1.376544718005495e-03	0.000000000000000e+00	5.393139111160917e-02
2.000000e+05	  3	  3000	  2267	1.825398155543952e-03	1.000000000000000e-01	6.157305429505536e-03
3.000000e+05	  3	  3000	  2776	1.589043582474108e-03	1.333521432163324e-01	2.492695868276146e-02
4.000000e+05	  3	  3000	  2852	1.807036005222952e-03	1.778279410038923e-01	3.268600569190425e-02
5.000000e+05	  3	  3000	  2323	1.339471871976327e-03	2.371373705661655e-01	2.554545348898342e-02
6.000000e+05	  3	  3000	   910	1.465241102002019e-03	2.371373705661655e-01	7.807680311725289e-02
7.000000e+05	  3	  3000	   795	1.307581637786812e-03	3.162277660168378e-01	5.059004741330820e-02
8.000000e+05	  3	  3000	   787	1.589571127544652e-03	3.162277660168378e-01	1.037282238769012e-01
9.000000e+05	  3	  3000	  1282	1.993048542508803e-03	4.216965034285821e-01	5.059228593950180e-02
1.000000e+06	  3	  3000	  1478	2.128314016367761e-03	4.216965034285821e-01	1.038046805607422e-01
1.100000e+06	  3	  3000	  1239	1.630927811942913e-03	5.623413251903489e-01	1.529242135550985e-02
collision No.1	5.897376e-01[yr]	i=3, j=823	r_ij=6.330582702710133e-05	radius[3]+radius[823]=6.338481524341289e-05
1.200000e+06	  3	  3000	  1225	1.896804959994397e-03	5.623413251903489e-01	6.735298390488580e-02
1.300000e+06	  3	  3000	  2697	1.340185967700958e-03	5.623413251903489e-01	1.194151086957297e-01
1.400000e+06	  3	  3000	  2277	1.988998564619986e-03	5.623413251903489e-01	1.725663587164076e-01
1.500000e+06	  3	  3000	  1969	1.502537948915747e-03	7.498942093324554e-01	3.722681492743860e-02
1.600000e+06	  3	  3000	  1868	2.007029787744440e-03	7.498942093324554e-01	9.043500344734760e-02
1.700000e+06	  3	  3000	   998	1.498414054016768e-03	7.498942093324554e-01	1.435457951409049e-01
1.800000e+06	  3	  3000	   885	1.772289260895944e-03	7.498942093324554e-01	1.953277263424706e-01
1.900000e+06	  3	  3000	   758	1.604484264673336e-03	7.498942093324554e-01	2.480982774123646e-01
2.000000e+06	  3	  3000	   532	1.322152094559445e-03	9.999999999999994e-01	5.012318913702006e-02
2.100000e+06	  3	  3000	   770	1.669554807745204e-03	9.999999999999994e-01	1.031044562917846e-01
2.200000e+06	  3	  3000	    26	1.915335294001779e-03	9.999999999999994e-01	1.560036734107301e-01
2.300000e+06	  3	  3000	  1374	1.473449349521968e-03	9.999999999999994e-01	2.085241747046984e-01
2.400000e+06	  3	  3000	  2656	1.570395960939624e-03	9.999999999999994e-01	2.612951862465985e-01
2.500000e+06	  3	  3000	  2338	1.298548562040442e-03	9.999999999999994e-01	3.138700996955054e-01
2.600000e+06	  3	  3000	  2431	2.074848897250600e-03	1.333521432163323e+00	3.185864578128061e-02
2.700000e+06	  3	  3000	   136	1.619511079152202e-03	1.333521432163323e+00	8.495407021927250e-02
2.800000e+06	  3	  3000	  2046	1.874553833666723e-03	1.333521432163323e+00	1.381490145104320e-01
2.900000e+06	  3	  3000	  2598	1.693940157705860e-03	1.333521432163323e+00	1.913454654275307e-01
3.000000e+06	  3	  3000	  2829	1.810870068367297e-03	1.333521432163323e+00	2.443518736467390e-01
3.100000e+06	  3	  3000	    80	2.226671523866002e-03	1.333521432163323e+00	2.972663673502350e-01
3.200000e+06	  3	  3000	  1837	1.903833213584665e-03	1.333521432163323e+00	3.503586146579886e-01
3.300000e+06	  3	  3000	  1415	1.456670609560792e-03	1.333521432163323e+00	4.033376881323655e-01
3.400000e+06	  3	  3000	   552	1.772339753861465e-03	1.778279410038922e+00	1.067689223940908e-02
3.500000e+06	  3	  3000	  2930	1.325246719730097e-03	1.778279410038922e+00	6.325132042646457e-02
3.600000e+06	  3	  3000	  1410	1.401970701030884e-03	1.778279410038922e+00	1.162262751083052e-01
3.700000e+06	  3	  3000	  2851	1.312240976532161e-03	1.778279410038922e+00	1.689619486900336e-01
3.800000e+06	  3	  3000	  1898	1.873982522356366e-03	1.778279410038922e+00	2.221092868456669e-01
3.900000e+06	  3	  3000	  1057	2.045130906762207e-03	1.778279410038922e+00	2.752117150595366e-01
4.000000e+06	  3	  3000	  2577	1.536478202241709e-03	1.778279410038922e+00	3.281071964172066e-01
4.100000e+06	  3	  3000	   102	1.881700282335815e-03	1.778279410038922e+00	3.798575452023526e-01
4.200000e+06	  3	  3000	  1231	1.492475046289965e-03	1.778279410038922e+00	4.309562925542200e-01
4.300000e+06	  3	  3000	  2966	1.863156306495828e-03	1.778279410038922e+00	4.835801232480025e-01
4.400000e+06	  3	  3000	  1896	1.260262809915405e-03	1.778279410038922e+00	5.365945888569850e-01
4.500000e+06	  3	  3000	   637	1.558217969213294e-03	1.778279410038922e+00	5.897037248570812e-01
4.600000e+06	  3	  3000	  2670	1.807616075612377e-03	2.371373705661654e+00	4.872271965845322e-02
4.700000e+06	  3	  3000	  2907	1.530350389835010e-03	2.371373705661654e+00	1.017208797208086e-01
4.800000e+06	  3	  3000	  1206	1.645186103978091e-03	2.371373705661654e+00	1.546093984816646e-01
4.900000e+06	  3	  3000	  1068	1.699485403906877e-03	2.371373705661654e+00	2.076614809297607e-01
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+06	  3	  3000	   135	1.465870285336649e-03	2.371373705661654e+00	2.585487215841211e-01
5.100000e+06	  3	  3000	  1377	1.958509755774754e-03	2.371373705661654e+00	3.116688022635843e-01
5.200000e+06	  3	  3000	  1338	1.608995027287460e-03	2.371373705661654e+00	3.648401043337751e-01
5.300000e+06	  3	  3000	    38	1.472552788193470e-03	2.371373705661654e+00	4.180045005928413e-01
5.400000e+06	  3	  3000	  2588	1.797480237662017e-03	2.371373705661654e+00	4.711936488291055e-01
5.500000e+06	  3	  3000	  2916	1.225993516840541e-03	2.371373705661654e+00	5.243863295771645e-01
5.600000e+06	  3	  3000	   613	1.763663062677357e-03	2.371373705661654e+00	5.768963141567318e-01
5.700000e+06	  3	  3000	  2140	1.731844131691656e-03	2.371373705661654e+00	6.299563238336892e-01
5.800000e+06	  3	  3000	  1403	1.649172872046315e-03	2.371373705661654e+00	6.827253705252132e-01
5.900000e+06	  3	  3000	  1665	1.523716504894606e-03	2.371373705661654e+00	7.357581361500746e-01
6.000000e+06	  3	  3000	   971	1.396784258685722e-03	2.371373705661654e+00	7.888968885537426e-01
6.100000e+06	  3	  3000	  2931	1.847109669018988e-03	3.162277660168377e+00	5.022269545117887e-02
6.200000e+06	  3	  3000	  1433	1.281673402644506e-03	3.162277660168377e+00	1.032907359846338e-01
6.300000e+06	  3	  3000	  1290	1.931662092573893e-03	3.162277660168377e+00	1.562948175291796e-01
collision No.2	3.326720e+00[yr]	i=1, j=1567	r_ij=6.326559258677709e-05	radius[1]+radius[1567]=6.338481524341289e-05
6.400000e+06	  3	  3000	  1262	1.594194437101623e-03	3.162277660168377e+00	2.091261718968256e-01
6.500000e+06	  3	  3000	  2604	1.659283440614696e-03	3.162277660168377e+00	2.616652470689874e-01
6.600000e+06	  3	  3000	   330	1.302340415213782e-03	3.162277660168377e+00	3.146633602759542e-01
6.700000e+06	  3	  3000	  2819	1.609764257171681e-03	3.162277660168377e+00	3.661737025106259e-01
6.800000e+06	  3	  3000	   141	1.278882564994249e-03	3.162277660168377e+00	4.185965159143745e-01
6.900000e+06	  3	  3000	  1214	1.307958845027216e-03	3.162277660168377e+00	4.714432887874385e-01
7.000000e+06	  3	  3000	  1085	1.326551860467124e-03	3.162277660168377e+00	5.236427673053750e-01
7.100000e+06	  3	  3000	   228	1.695130225676023e-03	3.162277660168377e+00	5.765738045237612e-01
7.200000e+06	  3	  3000	  2905	1.766041763886295e-03	3.162277660168377e+00	6.296883308502551e-01
7.300000e+06	  3	  3000	  1321	1.526017193090064e-03	3.162277660168377e+00	6.828279928502645e-01
7.400000e+06	  3	  3000	  2926	1.333157822499421e-03	3.162277660168377e+00	7.359563263398909e-01
7.500000e+06	  3	  3000	   146	1.634888428989219e-03	3.162277660168377e+00	7.890670430752411e-01
7.600000e+06	  3	  3000	  1919	1.672061549579037e-03	3.162277660168377e+00	8.421981998988917e-01
7.700000e+06	  3	  3000	   178	1.987361988520027e-03	3.162277660168377e+00	8.951560253547924e-01
7.800000e+06	  3	  3000	  1329	1.577634446138863e-03	3.162277660168377e+00	9.477409862941116e-01
7.900000e+06	  3	  3000	   567	1.551189462977387e-03	3.162277660168377e+00	1.000563964912965e+00
8.000000e+06	  3	  3000	  2446	1.932617275182121e-03	3.162277660168377e+00	1.052716100504203e+00
8.100000e+06	  3	  3000	  2414	1.759908415693262e-03	4.216965034285820e+00	5.043235533061043e-02
8.200000e+06	  3	  3000	   964	1.652755402483112e-03	4.216965034285820e+00	1.025915119673323e-01
8.300000e+06	  3	  3000	   759	1.502380523111635e-03	4.216965034285820e+00	1.547455839431817e-01
8.400000e+06	  3	  3000	   851	1.769562489952606e-03	4.216965034285820e+00	2.072001581870109e-01
8.500000e+06	  3	  3000	  1090	2.036775060935617e-03	4.216965034285820e+00	2.603035666099601e-01
8.600000e+06	  3	  3000	  2851	1.298331212271725e-03	4.216965034285820e+00	3.133799913466194e-01
8.700000e+06	  3	  3000	  1165	1.536633766987183e-03	4.216965034285820e+00	3.664720792479679e-01
8.800000e+06	  3	  3000	  1480	1.276324846902935e-03	4.216965034285820e+00	4.195945017133890e-01
8.900000e+06	  3	  3000	   989	1.280419586021939e-03	4.216965034285820e+00	4.721361880719455e-01
9.000000e+06	  3	  3000	  1657	1.491472330541629e-03	4.216965034285820e+00	5.248918419182709e-01
9.100000e+06	  3	  3000	  2316	1.151722642862766e-03	4.216965034285820e+00	5.779798037188024e-01
9.200000e+06	  3	  3000	  1222	1.480455749417265e-03	4.216965034285820e+00	6.305341820624022e-01
9.300000e+06	  3	  3000	  2748	1.239097467252090e-03	4.216965034285820e+00	6.832821956070912e-01
