myid = 3	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/rand04/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
collision No.1	1.372799e+00[yr]	i=1, j=881	r_ij=6.336528736674887e-05	radius[1]+radius[881]=6.338481524341289e-05
1.000000e+06	  1	  1000	   186	1.691848913822656e-03	1.333521432163323e+00	2.380014093673281e-01
2.000000e+06	  1	  1000	   563	1.784894190687221e-03	2.371373705661654e+00	7.758173643889432e-01
3.000000e+06	  1	  1000	   570	1.692198423605040e-03	4.216965034285820e+00	5.022059621008663e-01
4.000000e+06	  1	  1000	   716	1.588032760557775e-03	5.623413251903486e+00	6.795098361913322e-01
5.000000e+06	  1	  1000	   441	1.492347730360648e-03	7.498942093324552e+00	3.795169934012945e-01
6.000000e+06	  1	  1000	   674	1.537181706426447e-03	7.498942093324552e+00	1.960358722130014e+00
7.000000e+06	  1	  1000	   776	1.367587347819437e-03	9.999999999999991e+00	1.015545656311197e+00
8.000000e+06	  1	  1000	   720	1.790378396712440e-03	9.999999999999991e+00	2.590556669506360e+00
9.000000e+06	  1	  1000	   624	1.541812549711211e-03	1.333521432163323e+01	8.210081297010988e-01
collision No.2	1.442348e+01[yr]	i=1, j=185	r_ij=6.333165847155976e-05	radius[1]+radius[185]=6.338481524341289e-05
1.000000e+07	  1	  1000	   353	1.560624803976388e-03	1.333521432163323e+01	2.398486390341857e+00
collision No.3	1.592622e+01[yr]	i=1, j=568	r_ij=6.324113987414956e-05	radius[1]+radius[568]=6.338481524341289e-05
1.100000e+07	  1	  1000	   399	1.630350521713637e-03	1.333521432163323e+01	3.961604548786207e+00
1.200000e+07	  1	  1000	   439	1.693375472975829e-03	1.778279410038921e+01	1.074611378443288e+00
1.300000e+07	  1	  1000	   970	1.399588443377466e-03	1.778279410038921e+01	2.620678652628012e+00
1.400000e+07	  1	  1000	   887	1.497477586751895e-03	1.778279410038921e+01	4.198294178914566e+00
1.500000e+07	  1	  1000	   190	1.606572618210720e-03	1.778279410038921e+01	5.776749243446466e+00
1.600000e+07	  1	  1000	   532	1.469170415315203e-03	2.371373705661653e+01	1.420234112724334e+00
1.700000e+07	  1	  1000	   888	1.524856436950723e-03	2.371373705661653e+01	3.002302318734160e+00
1.800000e+07	  1	  1000	    29	1.605314234883613e-03	2.371373705661653e+01	4.574825029618315e+00
1.900000e+07	  1	  1000	   747	1.473659581196755e-03	2.371373705661653e+01	6.151901306205516e+00
2.000000e+07	  1	  1000	   440	1.587337223516827e-03	2.371373705661653e+01	7.719648156732730e+00
2.100000e+07	  1	  1000	   897	1.364433152298826e-03	3.162277660168376e+01	1.387231155703834e+00
2.200000e+07	  1	  1000	    43	1.688989997364127e-03	3.162277660168376e+01	2.958783964220577e+00
2.300000e+07	  1	  1000	   744	1.633532329477599e-03	3.162277660168376e+01	4.528417262816949e+00
2.400000e+07	  1	  1000	   985	1.502418821602350e-03	3.162277660168376e+01	6.109579162385025e+00
2.500000e+07	  1	  1000	   617	1.677865934041912e-03	3.162277660168376e+01	7.685822189151035e+00
2.600000e+07	  1	  1000	   796	1.429347637367848e-03	3.162277660168376e+01	9.265094491861134e+00
2.700000e+07	  1	  1000	   562	1.447341295819575e-03	4.216965034285818e+01	3.037123131048440e-01
2.800000e+07	  1	  1000	   954	1.560828695290379e-03	4.216965034285818e+01	1.883466676768305e+00
2.900000e+07	  1	  1000	   533	1.652146979267320e-03	4.216965034285818e+01	3.451996441331710e+00
3.000000e+07	  1	  1000	   514	1.527950941435689e-03	4.216965034285818e+01	5.032357562858286e+00
3.100000e+07	  1	  1000	    38	1.687002697759394e-03	4.216965034285818e+01	6.613016576289776e+00
3.200000e+07	  1	  1000	   101	1.660309035892943e-03	4.216965034285818e+01	8.188365957656536e+00
3.300000e+07	  1	  1000	   176	1.754076773695413e-03	4.216965034285818e+01	9.762806344707517e+00
3.400000e+07	  1	  1000	   834	1.861173423287929e-03	4.216965034285818e+01	1.134306060337820e+01
3.500000e+07	  1	  1000	   122	1.830261883108923e-03	4.216965034285818e+01	1.291799323654423e+01
3.600000e+07	  1	  1000	   655	1.797419230922454e-03	5.623413251903484e+01	4.370972715290083e-01
