myid = 8	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/rand09/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
collision No.1	1.335819e+00[yr]	i=1, j=418	r_ij=6.337613954992288e-05	radius[1]+radius[418]=6.338481524341289e-05
1.000000e+06	  1	  1000	   773	1.530787396787949e-03	1.333521432163323e+00	1.388186715220034e-01
2.000000e+06	  1	  1000	   731	1.497782862518897e-03	2.371373705661654e+00	6.800126569958120e-01
3.000000e+06	  1	  1000	   816	1.614755119199433e-03	4.216965034285820e+00	4.129879274677914e-01
4.000000e+06	  1	  1000	   155	1.686802737468634e-03	5.623413251903486e+00	5.761027779944834e-01
collision No.2	7.448697e+00[yr]	i=1, j=441	r_ij=6.325241824085727e-05	radius[1]+radius[441]=6.338481524341289e-05
5.000000e+06	  1	  1000	   275	1.382721934947880e-03	7.498942093324552e+00	2.756320226030234e-01
6.000000e+06	  1	  1000	   306	1.498790575221905e-03	7.498942093324552e+00	1.826658021147951e+00
collision No.3	1.030555e+01[yr]	i=1, j=750	r_ij=6.327432272110475e-05	radius[1]+radius[750]=6.338481524341289e-05
7.000000e+06	  1	  1000	   835	1.536132235228592e-03	9.999999999999991e+00	8.746928055846489e-01
collision No.4	1.126321e+01[yr]	i=1, j=221	r_ij=6.336421844583894e-05	radius[1]+radius[221]=6.338481524341289e-05
collision No.5	1.168999e+01[yr]	i=1, j=849	r_ij=6.330379111746281e-05	radius[1]+radius[849]=6.338481524341289e-05
collision No.6	1.175261e+01[yr]	i=1, j=574	r_ij=6.333562149637528e-05	radius[1]+radius[574]=6.338481524341289e-05
8.000000e+06	  1	  1000	   456	1.459201384465620e-03	9.999999999999991e+00	2.429857110552213e+00
9.000000e+06	  1	  1000	   443	1.644817119727895e-03	1.333521432163323e+01	6.724153150712275e-01
1.000000e+07	  1	  1000	   732	1.411309487771105e-03	1.333521432163323e+01	2.249714895310531e+00
1.100000e+07	  1	  1000	   918	1.783739783567102e-03	1.333521432163323e+01	3.816024326573213e+00
1.200000e+07	  1	  1000	   994	1.672158762076875e-03	1.778279410038921e+01	9.332293484453217e-01
