myid = 6	numprocs = 40
OMP_NUM_THREADS: 1
threads: 1
. 
file: '../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/rand07/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr1E3_t1E4_dtlog_Mtot3E-5_ecc1E-2_nofrag_noacc/
N_tr	1000
N_p	1
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*1)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E4)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  1	  1000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  1	  1000	   566	1.592228681933036e-03	1.333521432163323e+00	2.248713452497069e-01
2.000000e+06	  1	  1000	   411	1.475651486766040e-03	2.371373705661654e+00	7.697512600055685e-01
3.000000e+06	  1	  1000	   229	1.707226374641928e-03	4.216965034285820e+00	4.991999063395141e-01
4.000000e+06	  1	  1000	   175	1.623613516783499e-03	5.623413251903486e+00	6.702027936316384e-01
5.000000e+06	  1	  1000	   448	1.748558167968795e-03	7.498942093324552e+00	3.700236197353284e-01
6.000000e+06	  1	  1000	   747	1.628547526292831e-03	7.498942093324552e+00	1.948606160630740e+00
7.000000e+06	  1	  1000	   814	1.472809876012051e-03	9.999999999999991e+00	1.015513180067616e+00
8.000000e+06	  1	  1000	   679	1.481969072039741e-03	9.999999999999991e+00	2.598953749787769e+00
9.000000e+06	  1	  1000	    10	1.629035502163403e-03	1.333521432163323e+01	8.440294821191493e-01
1.000000e+07	  1	  1000	   676	1.580417203985404e-03	1.333521432163323e+01	2.417117251004672e+00
1.100000e+07	  1	  1000	   644	1.750513866117254e-03	1.333521432163323e+01	3.997015330674018e+00
1.200000e+07	  1	  1000	   561	1.710407012294888e-03	1.778279410038921e+01	1.132377379275528e+00
collision No.1	2.045324e+01[yr]	i=1, j=470	r_ij=6.331989515231940e-05	radius[1]+radius[470]=6.338481524341289e-05
1.300000e+07	  1	  1000	    92	1.809780420246840e-03	1.778279410038921e+01	2.697189893307729e+00
