myid = 6	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_acc/rand07/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	  1498	1.578147754130180e-03	4.216965034285821e-01	9.870441060631756e-02
2.000000e+06	  3	  3000	  1556	1.351383206709101e-03	9.999999999999994e-01	4.134720069781250e-02
3.000000e+06	  3	  3000	  2611	1.752493432971961e-03	1.333521432163323e+00	2.320126951022883e-01
4.000000e+06	  3	  3000	  1854	1.104337572009954e-03	1.778279410038922e+00	3.089735982053281e-01
5.000000e+06	  3	  3000	  1668	1.639583183663786e-03	2.371373705661654e+00	2.402971262224011e-01
6.000000e+06	  3	  3000	  1844	2.175365683921374e-03	2.371373705661654e+00	7.643120912435050e-01
7.000000e+06	  3	  3000	  2155	1.460554497375733e-03	3.162277660168377e+00	4.971957262056743e-01
8.000000e+06	  3	  3000	  1862	1.892441542728468e-03	3.162277660168377e+00	1.020537400194847e+00
9.000000e+06	  3	  3000	  1999	1.251304447838997e-03	4.216965034285820e+00	4.902169900074493e-01
1.000000e+07	  3	  3000	  2212	1.459963435107130e-03	4.216965034285820e+00	1.013132539253066e+00
1.100000e+07	  3	  3000	  1299	2.085032155012436e-03	5.623413251903486e+00	1.309645171697000e-01
1.200000e+07	  3	  3000	   576	2.250403195908981e-03	5.623413251903486e+00	6.540152763261230e-01
1.300000e+07	  3	  3000	   419	1.400281512069789e-03	5.623413251903486e+00	1.179039682373593e+00
1.400000e+07	  3	  3000	  2983	1.458777469592586e-03	5.623413251903486e+00	1.702086182629239e+00
1.500000e+07	  3	  3000	    26	1.363427024105170e-03	7.498942093324552e+00	3.505506666153113e-01
1.600000e+07	  3	  3000	   921	1.296369283577798e-03	7.498942093324552e+00	8.737284171297411e-01
1.700000e+07	  3	  3000	  2581	1.539928577155259e-03	7.498942093324552e+00	1.398309861349112e+00
1.800000e+07	  3	  3000	  2470	1.361247842916315e-03	7.498942093324552e+00	1.919739954071084e+00
1.900000e+07	  3	  3000	  2426	1.791884097831494e-03	7.498942093324552e+00	2.444397390861599e+00
2.000000e+07	  3	  3000	  1190	1.610879739628673e-03	9.999999999999991e+00	4.660844005555911e-01
2.100000e+07	  3	  3000	  1234	2.074780716911978e-03	9.999999999999991e+00	9.914240245862412e-01
2.200000e+07	  3	  3000	  1394	1.185067356852285e-03	9.999999999999991e+00	1.514993565410070e+00
2.300000e+07	  3	  3000	  1498	1.575130788089313e-03	9.999999999999991e+00	2.038426173205759e+00
2.400000e+07	  3	  3000	  1489	2.781065769910074e-03	9.999999999999991e+00	2.561650409547558e+00
2.500000e+07	  3	  3000	   164	1.461573363007420e-03	9.999999999999991e+00	3.086710424085685e+00
2.600000e+07	  3	  3000	  1187	1.405972002998905e-03	1.333521432163323e+01	2.734792885320510e-01
2.700000e+07	  3	  3000	  2456	1.257903078811237e-03	1.333521432163323e+01	7.979842063761658e-01
2.800000e+07	  3	  3000	  1303	1.382049731325915e-03	1.333521432163323e+01	1.322612526496215e+00
2.900000e+07	  3	  3000	  1194	2.866266049723316e-03	1.333521432163323e+01	1.845143991449572e+00
3.000000e+07	  3	  3000	   651	1.091646053731448e-03	1.333521432163323e+01	2.370677932601711e+00
3.100000e+07	  3	  3000	   681	1.433152845729797e-03	1.333521432163323e+01	2.892713398694524e+00
3.200000e+07	  3	  3000	  1615	1.746542395867030e-03	1.333521432163323e+01	3.419866585205538e+00
3.300000e+07	  3	  3000	  2918	1.731708833898557e-03	1.333521432163323e+01	3.941457251473002e+00
3.400000e+07	  3	  3000	  1791	1.178671551084903e-03	1.778279410038921e+01	1.872059375983673e-02
