myid = 1	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_frag_noacc/rand02/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_frag_noacc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E5
BREAK_TIME	43000.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
initial mass depletion timescale =1.234112e+02 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+05	  3	  3000	  2435	1.697907591321422e-03	0.000000000000000e+00	5.415112189179606e-02
2.000000e+05	  3	  3000	  1828	1.856472651991933e-03	1.000000000000000e-01	6.468243896477884e-03
3.000000e+05	  3	  3000	  2287	2.041130374616021e-03	1.333521432163324e-01	2.551604725055653e-02
4.000000e+05	  3	  3000	  2863	1.408779745657357e-03	1.778279410038923e-01	3.326888023237481e-02
5.000000e+05	  3	  3000	  1733	1.637987106353055e-03	2.371373705661655e-01	2.633252125430481e-02
6.000000e+05	  3	  3000	  1240	1.271085679712881e-04	3.162277660168378e-01	3.030188808497646e-04
7.000000e+05	  3	  3000	   292	1.647034145227156e-03	3.162277660168378e-01	5.281154388739977e-02
8.000000e+05	  3	  3000	  1640	1.121909316002768e-03	4.216965034285821e-01	3.521589123001245e-04
9.000000e+05	  3	  3000	  2318	1.813066276404135e-03	4.216965034285821e-01	5.280201852938529e-02
1.000000e+06	  3	  3000	  1937	1.581643986241012e-03	4.216965034285821e-01	1.039454503032555e-01
1.100000e+06	  3	  3000	  2019	1.522514675282653e-03	5.623413251903489e-01	1.461809136109352e-02
1.200000e+06	  3	  3000	  2411	1.393778153448858e-03	5.623413251903489e-01	6.777511448973123e-02
1.300000e+06	  3	  3000	  1799	1.817317363242703e-03	5.623413251903489e-01	1.204285589724067e-01
1.400000e+06	  3	  3000	    71	1.405671007096451e-03	5.623413251903489e-01	1.730436835055837e-01
1.500000e+06	  3	  3000	  1605	1.193769902434984e-03	7.498942093324554e-01	3.443357312203840e-02
1.600000e+06	  3	  3000	    81	1.361126367772753e-03	7.498942093324554e-01	8.237161621246572e-02
1.700000e+06	  3	  3000	   543	1.245580813786021e-03	7.498942093324554e-01	1.303691480502190e-01
1.800000e+06	  3	  3000	  2125	1.408356720792642e-03	7.498942093324554e-01	1.778064142442014e-01
1.900000e+06	  3	  3000	  1481	1.309001395927032e-03	7.498942093324554e-01	2.261735609565750e-01
2.000000e+06	  3	  3000	  2245	1.903884570751933e-03	9.999999999999994e-01	2.293153305253575e-02
2.100000e+06	  3	  3000	  1845	1.592632945967319e-03	9.999999999999994e-01	7.065310542401261e-02
2.200000e+06	  3	  3000	  1070	1.668763208911379e-03	9.999999999999994e-01	1.180624430300461e-01
2.300000e+06	  3	  3000	  2737	1.156231190099134e-03	9.999999999999994e-01	1.659330650638956e-01
2.400000e+06	  3	  3000	   772	2.310867337254654e-05	9.999999999999994e-01	2.133109870421522e-01
collision No.1	1.239793e+00[yr]	i=1, j=1524	r_ij=6.327215235401450e-05	radius[1]+radius[1524]=6.338481524341289e-05
2.500000e+06	  3	  3000	  1014	2.047321262865557e-03	9.999999999999994e-01	2.602639558222578e-01
2.600000e+06	  3	  3000	  2601	1.512293204261153e-03	9.999999999999994e-01	3.082598393964428e-01
collision No.2	1.338055e+00[yr]	i=1, j=2526	r_ij=6.324003534407497e-05	radius[1]+radius[2526]=6.338481524341289e-05
2.700000e+06	  3	  3000	  1636	1.547537302500722e-03	1.333521432163323e+00	2.161512364114097e-02
2.800000e+06	  3	  3000	  1098	1.558620290715675e-03	1.333521432163323e+00	7.003151750920072e-02
