myid = 1	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_nofrag_acc/rand02/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_nofrag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E5
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+05	  3	  3000	  2435	1.697907591321422e-03	0.000000000000000e+00	5.415112189179606e-02
2.000000e+05	  3	  3000	  1828	1.856472651991933e-03	1.000000000000000e-01	6.468243896477884e-03
3.000000e+05	  3	  3000	  2287	2.041130374616021e-03	1.333521432163324e-01	2.551604725055653e-02
4.000000e+05	  3	  3000	  2863	1.408779745657357e-03	1.778279410038923e-01	3.326888023237481e-02
5.000000e+05	  3	  3000	  1733	1.637987106353055e-03	2.371373705661655e-01	2.633252125430481e-02
6.000000e+05	  3	  3000	  1240	1.271085679712881e-04	3.162277660168378e-01	3.030188808497646e-04
7.000000e+05	  3	  3000	   292	1.647034145227156e-03	3.162277660168378e-01	5.281154388739977e-02
8.000000e+05	  3	  3000	  1640	1.121912811793957e-03	4.216965034285821e-01	3.520455198412289e-04
9.000000e+05	  3	  3000	  1159	1.589900803051270e-03	4.216965034285821e-01	5.279958665872683e-02
1.000000e+06	  3	  3000	  2745	2.015233012259331e-03	4.216965034285821e-01	1.039523576429579e-01
1.100000e+06	  3	  3000	  2163	1.957686389183526e-03	5.623413251903489e-01	1.462217540323445e-02
1.200000e+06	  3	  3000	  2816	1.477625461056566e-03	5.623413251903489e-01	6.778765956934868e-02
1.300000e+06	  3	  3000	  1023	1.440151441166120e-03	5.623413251903489e-01	1.204506958054968e-01
1.400000e+06	  3	  3000	  1942	1.741126174444286e-03	5.623413251903489e-01	1.730237614006548e-01
1.500000e+06	  3	  3000	  2111	1.770438766022162e-03	7.498942093324554e-01	3.563714775382253e-02
1.600000e+06	  3	  3000	  2102	1.812594874222226e-03	7.498942093324554e-01	8.647057535041239e-02
1.700000e+06	  3	  3000	  1412	1.901679623686661e-03	7.498942093324554e-01	1.366438623112362e-01
1.800000e+06	  3	  3000	   532	1.688476366971057e-03	7.498942093324554e-01	1.870889918412457e-01
1.900000e+06	  3	  3000	   512	1.248212740011560e-03	7.498942093324554e-01	2.375230353114714e-01
2.000000e+06	  3	  3000	  2959	1.255076374294411e-03	9.999999999999994e-01	3.405997258873301e-02
2.100000e+06	  3	  3000	  2046	1.759883718963567e-03	9.999999999999994e-01	8.385630462043336e-02
2.200000e+06	  3	  3000	  1924	1.881860980941359e-03	9.999999999999994e-01	1.340577559006510e-01
2.300000e+06	  3	  3000	  1303	2.001523438869069e-03	9.999999999999994e-01	1.842364262255364e-01
2.400000e+06	  3	  3000	  1425	1.786034309903626e-03	9.999999999999994e-01	2.346027963090518e-01
2.500000e+06	  3	  3000	  2442	1.831352368752364e-03	9.999999999999994e-01	2.846029524332964e-01
2.600000e+06	  3	  3000	  1785	1.356458465953408e-03	1.333521432163323e+00	6.598732559240987e-04
2.700000e+06	  3	  3000	  2226	2.007263004782990e-03	1.333521432163323e+00	5.163879204670356e-02
2.800000e+06	  3	  3000	  2484	2.076671239777116e-03	1.333521432163323e+00	1.021307517207762e-01
2.900000e+06	  3	  3000	  1797	1.443822983602291e-03	1.333521432163323e+00	1.516767497199008e-01
3.000000e+06	  3	  3000	  2312	1.605268309803842e-03	1.333521432163323e+00	2.017102210148799e-01
3.100000e+06	  3	  3000	  1764	1.814689998978119e-03	1.333521432163323e+00	2.522527120190171e-01
3.200000e+06	  3	  3000	   361	1.869488775703641e-03	1.333521432163323e+00	3.033604685295969e-01
3.300000e+06	  3	  3000	  2821	1.312220901318998e-03	1.333521432163323e+00	3.544551497919811e-01
3.400000e+06	  3	  3000	   707	1.363076505533109e-03	1.333521432163323e+00	4.048194700786336e-01
3.500000e+06	  3	  3000	   772	1.536096582387097e-06	1.778279410038922e+00	9.168505447186889e-03
3.600000e+06	  3	  3000	  1898	1.459276258797655e-03	1.778279410038922e+00	5.612072007508818e-02
