myid = 12	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_frag_acc/rand13/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc1E-2_frag_acc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E5
BREAK_TIME	14200.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
RELOCATE_PARTICLE	0
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*1.0)
PLANET_INC	((0.01*1.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*1.0)
INC_RMS	((0.01*1.0)*0.5)
DELTA_HILL	10.0
DELTA_R	0.010
DELTA_THETA	0.25*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	0
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
initial mass depletion timescale =1.199013e+02 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+05	  3	  3000	  2784	1.254018038940402e-03	0.000000000000000e+00	5.392071999613168e-02
2.000000e+05	  3	  3000	  1522	1.890655559132838e-03	1.000000000000000e-01	6.050588315076234e-03
3.000000e+05	  3	  3000	   786	2.008363951990009e-03	1.333521432163324e-01	2.496991583682857e-02
4.000000e+05	  3	  3000	  1841	1.583125945959116e-03	1.778279410038923e-01	3.272238757586781e-02
5.000000e+05	  3	  3000	  2498	1.308561152243530e-03	2.371373705661655e-01	2.573922043209285e-02
6.000000e+05	  3	  3000	  2914	1.444041781818447e-03	2.371373705661655e-01	7.885871522474329e-02
7.000000e+05	  3	  3000	  2880	1.233303986763765e-03	3.162277660168378e-01	5.197857025002808e-02
collision No.1	4.021760e-01[yr]	i=1, j=2548	r_ij=6.319793257940764e-05	radius[1]+radius[2548]=6.338481524341289e-05
dE_heat=-1.422527e-09	dE_grav=1.424097e-09	dE_c=-5.182139e-17	v_imp=3.094891e-01
8.000000e+05	  3	  2999	  2263	1.255530049339345e-03	3.162277660168378e-01	1.048134943600182e-01
9.000000e+05	  3	  2999	  1124	2.016831947562258e-03	4.216965034285821e-01	5.164037404152749e-02
1.000000e+06	  3	  2999	   356	1.458505204303736e-03	4.216965034285821e-01	1.048162229775761e-01
1.100000e+06	  3	  2999	  1249	1.656347286641749e-03	5.623413251903489e-01	1.648488106355485e-02
1.200000e+06	  3	  2999	  2774	1.808973667524709e-03	5.623413251903489e-01	6.770210929262853e-02
1.300000e+06	  3	  2999	  1271	1.476532021654221e-03	5.623413251903489e-01	1.203260716548146e-01
1.400000e+06	  3	  2999	  2684	1.733410349828134e-03	5.623413251903489e-01	1.734754490796825e-01
1.500000e+06	  3	  2999	  2485	1.578293977117656e-03	7.498942093324554e-01	3.808044471648055e-02
1.600000e+06	  3	  2999	  1067	1.312145074627951e-03	7.498942093324554e-01	9.019018060444076e-02
1.700000e+06	  3	  2999	   902	1.820325454825620e-03	7.498942093324554e-01	1.432796727763729e-01
1.800000e+06	  3	  2999	  2348	2.007746989708367e-03	7.498942093324554e-01	1.964127573351097e-01
1.900000e+06	  3	  2999	  2824	1.373110864580931e-03	7.498942093324554e-01	2.493280412085874e-01
2.000000e+06	  3	  2999	   730	1.448210603084298e-03	9.999999999999994e-01	5.048642718094307e-02
2.100000e+06	  3	  2999	  1886	2.083202364298912e-03	9.999999999999994e-01	1.035725086242094e-01
2.200000e+06	  3	  2999	  1017	1.195049226112166e-03	9.999999999999994e-01	1.566963683039665e-01
2.300000e+06	  3	  2999	  1928	1.770399171483433e-03	9.999999999999994e-01	2.098283723685139e-01
2.400000e+06	  3	  2999	  2706	1.479337800739311e-03	9.999999999999994e-01	2.629694086047065e-01
2.500000e+06	  3	  2999	  2005	1.828139191544279e-03	9.999999999999994e-01	3.160936873591435e-01
2.600000e+06	  3	  2999	   953	1.371149108129762e-03	1.333521432163323e+00	3.486745113484398e-02
2.700000e+06	  3	  2999	  1030	1.493421306680312e-03	1.333521432163323e+00	8.794895545662065e-02
2.800000e+06	  3	  2999	  1292	1.759298443808458e-03	1.333521432163323e+00	1.411257833487563e-01
2.900000e+06	  3	  2999	  1219	1.947473927895011e-03	1.333521432163323e+00	1.942568626888810e-01
3.000000e+06	  3	  2999	    77	2.027724824262774e-03	1.333521432163323e+00	2.468325721885394e-01
3.100000e+06	  3	  2999	  2781	1.561121386116096e-03	1.333521432163323e+00	2.999008132573762e-01
3.200000e+06	  3	  2999	  1099	1.557582295498679e-03	1.333521432163323e+00	3.530255304539616e-01
3.300000e+06	  3	  2999	   227	1.198003991735146e-03	1.333521432163323e+00	4.061810300247992e-01
3.400000e+06	  3	  2999	   131	1.419587058221525e-03	1.778279410038922e+00	1.308724303011294e-02
3.500000e+06	  3	  2999	  1700	1.816659661546289e-03	1.778279410038922e+00	6.601252099900826e-02
