myid = 0	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_noacc/rand01/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_ecc5E-2_nofrag_noacc/
N_tr	3000
N_p	3
RAND_SEED	RAND_SEED
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
FRAGMENTATION	0
COLLISION	1
COALESCENCE	0
RELOCATE_PARTICLE	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	(sqrt(sqrt(sqrt(10.0))))
-----
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	   464	1.630764037653365e-03	4.216965034285821e-01	9.921141610425588e-02
2.000000e+06	  3	  3000	  1060	1.374568289474939e-03	9.999999999999994e-01	4.215487309062351e-02
3.000000e+06	  3	  3000	   740	1.205668808710155e-03	1.333521432163323e+00	2.330895567230198e-01
4.000000e+06	  3	  3000	  2202	1.498991441028631e-03	1.778279410038922e+00	3.124675909168287e-01
5.000000e+06	  3	  3000	  2561	1.297398626809667e-03	2.371373705661654e+00	2.422634818611210e-01
6.000000e+06	  3	  3000	  1164	1.513479537113945e-03	2.371373705661654e+00	7.685584112053969e-01
7.000000e+06	  3	  3000	  2589	2.582743866530775e-03	3.162277660168377e+00	5.001204396417666e-01
8.000000e+06	  3	  3000	  1879	1.838988626265238e-03	3.162277660168377e+00	1.025043427497496e+00
9.000000e+06	  3	  3000	  1959	1.227635117784976e-03	4.216965034285820e+00	4.936353177917249e-01
1.000000e+07	  3	  3000	  2235	1.513073425380516e-03	4.216965034285820e+00	1.017509273197183e+00
1.100000e+07	  3	  3000	  2423	1.491173284084421e-03	5.623413251903486e+00	1.344089866344849e-01
1.200000e+07	  3	  3000	   373	2.087857149402469e-03	5.623413251903486e+00	6.577388978115963e-01
1.300000e+07	  3	  3000	  2467	1.463563781322925e-03	5.623413251903486e+00	1.183032538534871e+00
1.400000e+07	  3	  3000	  1442	1.853970659023152e-03	5.623413251903486e+00	1.705062566526286e+00
1.500000e+07	  3	  3000	  1949	1.708877823504219e-03	7.498942093324552e+00	3.543235687362500e-01
1.600000e+07	  3	  3000	  2993	1.130488093095745e-03	7.498942093324552e+00	8.776405365986378e-01
1.700000e+07	  3	  3000	    37	1.976686342761618e-03	7.498942093324552e+00	1.402743496234071e+00
